Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0004_1,0004_2,0004_3,0005_1,0005_2,0005_3,0005_4,0006_1,0006_2,0006_3
54,3.7857142857142856,2570317.532491041,2435701.1137201306,2306625.1698853355,2084747.5673621194,2752719.8781860545,2299225.005694631,2326382.282624415,2234014.516559752,2250644.991600014,,3173075.248539299,1911058.7555805813,2406002.742252122,,2562830.4398801504,2651815.1489344025,
55,3.8571428571428568,,2542587.4840165465,2373289.1304074414,1976963.2359886388,2629039.3190185423,,2392928.249048637,2162519.587831643,2208604.406825008,,2989608.72957129,2015917.0504732968,2411595.1152070784,,2509242.4958599457,2726684.3271943335,
56,3.928571428571429,2568445.896570218,2349240.5747326296,2408820.2924022507,2024638.4043250962,2821317.563047654,2346600.2709088693,2481833.868056447,2151257.271734576,,,2903752.324226963,2367918.652828204,,,,2544874.2170706624,
57,4.0,2758506.706871433,2508305.9465291267,2379820.905543801,2136320.391896647,2599276.7876423723,2142394.994947233,2636227.4614125523,2256256.3781526093,,,2986126.168762984,2232041.337213421,2385932.297995701,,2573163.727479157,2851979.24252333,
58,4.071428571428571,2575095.376183575,2627140.3699221197,2375973.174509414,2156201.127283338,2677028.7387172966,2276399.1484920946,2482154.935785369,2081896.7172170018,1928553.650293953,,3217903.5103855366,2201881.0434647156,2302904.068524469,,,2723413.7794281337,2724940.2840808164
59,4.142857142857142,2489602.7588595827,2740290.89556474,2270639.2110383757,2098246.9331875904,2669334.3765131915,2200800.745334045,2260674.0357689844,2202964.708014989,2016600.4981861776,,2959826.0871807514,2085750.7647171959,2391540.5842164555,,2540503.9955356824,2745387.1950350185,2533185.7082983325
60,4.214285714285714,2541584.831878277,2612851.1959425467,2359180.894384282,2255540.400639437,2622068.9844840127,2316722.161980579,2497124.6730189407,2336432.416004989,2120294.188414722,,3037705.2183479383,2110288.724939499,2355637.794312977,,2311564.41991839,2637389.392898501,
61,4.285714285714286,2726808.490728424,2558776.3990883455,,2150995.8281641216,2461323.4475006275,2097433.194598389,2333010.4643400526,2164806.3720943895,2054005.943875528,,3022221.3664253796,2161156.5388602926,2369719.0872256956,,2314843.4110574536,2537219.913019188,
62,4.357142857142857,2704553.7012354587,2482889.3421204607,2353704.6236474216,1980077.1771967087,2574145.485040333,2230062.5171114695,2575879.695852221,2179939.8372122836,,,3065191.6865011505,2086832.7544517794,2271586.380028206,,2525478.9470194485,,2597237.932653074
63,4.428571428571428,2745912.51535917,2362674.641248529,2531702.1771794353,2093057.9661233749,2490888.4149152418,2153632.554759538,2653484.3483468853,2054790.068463736,,,3210579.687916336,2073253.9853053303,2428275.528621189,,2487012.2021399527,2718127.5052550468,
64,4.5,2505470.4327437314,2616866.1805052594,2546562.3511961997,2154663.0829920494,2599529.393371643,2107949.418518335,2332084.0480286623,2027011.1597802902,2094229.0717512048,,3044036.622545149,2045371.5972320528,2404423.282005769,,2365044.3464244027,2724353.303653743,
65,4.571428571428571,2610031.8844273803,2641560.494729026,2455010.486985329,2221908.744768143,2605184.181373026,1969126.7397473105,2417105.5892849597,2026080.8376414669,2220485.992088224,,2916523.9180250713,2217544.7383321696,2289889.475004232,,,2975713.397430069,2745401.0043741395
66,4.642857142857142,2520577.7356531806,2611528.8857968333,2428351.50972589,2064840.4312063998,2710904.3963317797,2169888.404924391,2481962.8370681326,2067454.7839293408,2027120.153371428,,2957267.3828070336,2100293.5496313823,,,2441893.530872444,2875468.138510492,2755043.256461961
67,4.714285714285714,,2646992.7569182953,2428315.3638729253,2061548.764726861,2596763.3850675006,2162830.677883231,2203176.3126437445,2106775.5971440095,,,2918638.8772475077,1833662.028160789,2403153.0407935577,,2758630.9476856324,2734838.339718013,
68,4.785714285714286,2534450.9492977234,2335159.6608436015,2326739.3662025444,2112570.8487646324,2694630.9250153303,2238687.325420517,2489646.0298905913,2383047.2448952845,,,3115906.6950253085,2109428.3498787615,2247264.9367425004,,2434016.599928078,2658112.1203224896,2528319.000303921
69,4.857142857142857,2729063.646403205,2512246.749990709,2564534.4527977607,2022491.5111849704,2587072.2003131704,2260220.892570175,2261375.153449818,2445457.303795411,2100191.3066182793,,3219950.161188801,2147425.646989695,2296297.2347342297,,2428448.9882461983,2885129.5826328187,2540758.6758590643
70,4.928571428571428,2701887.473765404,2384054.7842877693,2492314.340747485,2025442.8893121511,2589312.1639675726,2181634.4731704644,2475516.8717000973,2216475.3693497186,,,3065215.625003909,2124129.314423429,,2922414.103840323,2338345.200674062,2677211.101633888,
71,5.0,2722044.2838649563,2547272.138304076,2419107.7362445337,2213559.131247936,2630011.60121544,,2557601.275215692,2191674.1683334564,1846317.8297882015,,3104165.105489628,2201671.899189435,,,,2749022.6969756363,2573647.22948619
72,5.071428571428571,2508663.8783012507,2533971.736738178,2385404.3241191166,2201878.9766546558,2713424.7788383644,,2421174.967345636,2271453.449278301,2260917.7549326075,,2692969.9448473696,2219255.673308206,2421065.7499745954,2853962.7112514004,2071006.3973389145,2564562.16507702,2652800.31646744
73,5.142857142857142,2457947.9473064058,2638104.6023702067,2244735.6837132834,2169639.8128580637,2694290.297981055,2040236.640822694,,2285335.423844075,2189392.1542402063,,3162384.788757801,1996331.9023695958,,2657242.8869249905,2662915.5313691935,2657022.5394502375,
74,5.214285714285714,2514157.9317645784,2545612.220165565,2247498.2877218584,2275603.9120604834,2488373.119624093,2203323.179844359,2269822.266754397,2304196.904340716,,,3136661.5100272945,2139966.3486551894,2373005.5775417225,,2508798.024191294,2736391.369415663,2699810.2158272834
75,5.285714285714286,2726368.0354069136,2525406.805992708,2222108.826092486,2155361.770053097,2276762.9876694963,2125686.5820760657,2352761.394323677,2419409.34240409,1938639.5091789763,,3096787.9395555775,2136053.069459376,2302265.413551093,,2464222.8428990096,2651677.7394532734,2669212.5524270893
76,5.357142857142857,2720635.776068142,2431617.966260442,2384270.1534426976,2190354.907841923,2475720.6920631723,2096241.5311656492,2186760.055244914,2270986.1778292814,1945117.9457725834,,3130397.8452647342,2148326.38698591,2473881.366751164,2747644.882557277,2279731.1459004367,2751272.573726989,2801184.361806726
77,5.428571428571428,2483556.6132140826,,2519802.264137769,2076273.7753980935,2595364.825930025,2062246.610027041,2547605.676507912,2427039.443880363,1854479.244792474,,3199305.529073252,2140654.3524013744,,,2408282.519928019,2707077.063005502,2433231.9088985873
78,5.5,2510006.2528085588,2538489.31763628,2347450.9278259333,2208500.2584195463,2596945.1941226744,2183714.4585348754,2545835.4281467656,2291097.850686318,,,2962006.3417207543,2266990.8562629623,2230405.714004095,,,2762645.5563649135,2368509.6627425556
79,5.571428571428571,2697839.896929641,2602037.0518807755,2294127.491628713,2208043.179046384,2565193.417652729,1958794.4557339745,2545576.499875131,2315544.898863656,2143736.1672016974,,2934852.737342703,2260290.61661239,2278227.9344808883,,2377931.23976731,2574834.9391285814,2576194.706591416
80,5.642857142857142,2597796.241243366,2760096.6335844793,,2243823.4827912743,2556674.043271273,1941953.9470725837,2686421.2171143796,2161330.7582908017,2252896.914482724,,2972940.478655477,2053832.2592947728,2354291.1856063753,,2516668.3063474167,2586070.1810960886,2640704.2253078385
81,5.7142857142857135,2672906.1541042225,2457801.0732475584,2302678.302239079,2080169.8682534886,2370360.746912514,2084410.2487889924,2518488.6814759616,2337340.9397415062,,,2847578.074588508,2157177.374539429,,,2382572.0762605895,2780825.8291615103,2838143.7952370527
82,5.785714285714286,2389345.521985488,2375817.9026808348,2335910.958253495,2144548.277563606,2424967.913789415,2157533.277540101,2369790.3334074155,2161048.909203725,2047073.0320128805,,2906736.466842693,2097370.410884902,2266108.380503656,,,2540390.6796250376,2818194.9341683737
83,5.857142857142857,2509610.6727661113,2602428.113059686,2418386.8026946075,2176213.1882792427,2409152.560585466,1912827.5852124786,2179954.461981929,2344437.513739663,2059645.8259177858,,3289268.7132211104,2086130.2144422196,,,2354482.6350281616,2672172.797434174,2626773.9481613985
