group_1,group_2,n_21mM,n_group_2,mean_21mM,mean_group_2,t_statistic,p_value,p_value_bonferroni,p_value_display,p_value_bonferroni_display
21,150,21,17,0.31751085328116074,5.543704168389461,-1.8653963428826326,0.07098661246337624,0.7098661246337624,0.0710,0.7099
21,250,21,19,0.31751085328116074,15.103621398075862,-4.6507023420935365,3.936919692681165e-05,0.0003936919692681165,0.0000,0.0004
21,350,21,18,0.31751085328116074,13.485217049073096,-3.327558662313018,0.002194657116438209,0.02194657116438209,0.0022,0.0219
21,450,21,30,0.31751085328116074,23.125164880363968,-7.705870290529413,1.7270985439975787e-09,1.7270985439975788e-08,0.0000,0.0000
21,550,21,12,0.31751085328116074,20.93631941560181,-5.278113864780869,2.384435540613431e-05,0.0002384435540613431,0.0000,0.0002
21,650,21,51,0.31751085328116074,22.024975265559306,-7.836283758873654,2.3813879568435195e-09,2.3813879568435197e-08,0.0000,0.0000
21,750,21,17,0.31751085328116074,19.61017739354203,-5.31972659766759,6.922458259465557e-06,6.922458259465557e-05,0.0000,0.0001
21,850,21,21,0.31751085328116074,19.48888938635832,-5.82484721551919,8.338382995192075e-07,8.338382995192075e-06,0.0000,0.0000
21,950,21,30,0.31751085328116074,22.886124705665694,-8.237302505656649,1.2572117712699698e-09,1.2572117712699698e-08,0.0000,0.0000
21,1050,21,31,0.31751085328116074,20.122533388520043,-6.544837005002154,5.983773181493616e-08,5.983773181493615e-07,0.0000,0.0000
