Condition_mM,Track,InitialThrashRate_Hz,SuppressionThreshold_Hz,MeanThrashRate_Hz,TimeToSuppression_s
21,0001_1,0.0,0.0,1.0000875810124366,0.0
21,0007_3,0.9071428571428573,0.2267857142857143,1.1095218579234973,100.78571428571428
21,0007_2,1.0,0.25,1.0613830613830615,77.14285714285714
21,0007_1,0.92,0.23,1.2214912808177993,289.7857142857143
21,0006_3,0.7266666666666668,0.1816666666666667,1.0614746369979258,204.85714285714283
21,0006_2,0.40000000000000013,0.10000000000000003,0.05850869723877874,33.42857142857142
21,0006_1,1.1733333333333331,0.2933333333333333,1.069358388352802,202.42857142857144
21,0005_2,0.0,0.0,1.0659174311926607,0.0
21,0005_1,1.1666666666666665,0.29166666666666663,1.1371547992237647,16.71428571428571
21,0004_2,1.0599999999999998,0.26499999999999996,0.9773048765355503,226.07142857142856
21,0005_3,0.2,0.05,1.0642008985879332,13.5
21,0003_3,1.276923076923077,0.31923076923076926,1.231014984450099,20.0
21,0001_2,0.3733333333333333,0.09333333333333332,1.0658144329896906,0.5714285714285714
21,0004_1,0.8466666666666666,0.21166666666666664,1.1074858499178382,22.285714285714285
21,0001_4,0.1,0.025,1.2728159051806538,10.5
21,0002_1,1.5666666666666667,0.39166666666666666,1.4451264167393199,
21,0001_3,0.5571428571428572,0.1392857142857143,1.0937712797917085,42.71428571428572
21,0002_3,1.2083333333333333,0.3020833333333333,1.207116104868914,419.6428571428571
21,0003_1,0.94,0.235,1.1054542781534844,58.64285714285714
21,0003_2,0.9833333333333333,0.24583333333333332,1.2721082854799015,
21,0002_2,1.1333333333333333,0.2833333333333333,1.1973815461346635,8.357142857142856
150,0004_3,0.0,0.0,1.3171925211802513,223.57142857142856
150,0006_3,0.4000000000000001,0.10000000000000002,1.1532523450715055,63.71428571428571
150,0006_2,1.0066666666666666,0.25166666666666665,1.0588610169491526,76.5
150,0006_1,1.0599999999999996,0.2649999999999999,0.6465911771644256,62.14285714285714
150,0005_4,0.9999999999999999,0.24999999999999997,1.329551348547718,97.57142857142856
150,0005_3,0.2785714285714286,0.06964285714285715,1.225451749327182,199.5
150,0005_1,1.033333333333333,0.25833333333333325,1.1450742414460944,47.57142857142857
150,0004_2,1.0466666666666664,0.2616666666666666,0.1420461557447859,52.21428571428571
150,0005_2,0.8333333333333335,0.20833333333333337,1.2953283683141503,31.285714285714285
150,0002_3,0.6571428571428573,0.1642857142857143,1.1938291139240507,11.285714285714285
150,0001_1,1.18,0.295,1.3141783029001075,534.0
150,0001_2,0.8066666666666668,0.2016666666666667,1.1563001336898395,181.92857142857144
150,0001_3,1.1999999999999997,0.29999999999999993,1.1924531024531022,55.285714285714285
150,0004_1,0.9933333333333331,0.24833333333333327,1.1113611416026346,161.0
150,0002_1,1.0866666666666664,0.2716666666666666,1.148000499875031,239.1428571428572
150,0002_2,0.09333333333333332,0.02333333333333333,1.2609305210918111,399.1428571428571
150,0001_4,0.0,0.0,1.0622305211339331,0.0
250,0005_4,0.05,0.0125,1.1481803797468355,31.142857142857142
250,0003_4,0.85,0.2125,0.8159761781460384,181.3571428571429
250,0005_2,0.8066666666666668,0.2016666666666667,0.7882832080200503,40.92857142857142
250,0005_1,1.1533333333333333,0.28833333333333333,1.2430054644808741,10.214285714285714
250,0004_4,0.0,0.0,0.9549599049599049,0.5714285714285714
250,0004_3,1.1384615384615386,0.28461538461538466,0.9095632728229412,98.42857142857142
250,0004_2,0.0,0.0,1.1411473788328388,0.0
250,0004_1,0.74,0.185,0.9351460071513708,78.57142857142857
