Condition_mM,Track,InitialSpeedNorm_pct,MotilityThreshold_pct,MotilitySuppTime_s
21,0001_1,99.7475089372263,24.936877234306575,
21,0001_2,96.87748601293409,24.21937150323352,
21,0001_3,108.89957814805098,27.224894537012744,
21,0002_1,106.11159627499345,26.52789906874836,
21,0002_2,98.80003454568286,24.700008636420716,
21,0002_3,119.86016936044608,29.96504234011152,
21,0003_1,102.84791715027025,25.711979287567562,
21,0003_2,100.52098446573639,25.130246116434098,
21,0003_3,133.6660438482244,33.4165109620561,
21,0004_1,105.19428535353481,26.298571338383702,
21,0004_2,100.52173664144713,25.130434160361784,
21,0004_3,132.9238432281721,33.230960807043026,
21,0004_4,99.57818642838444,24.89454660709611,
21,0005_1,84.75510465502046,21.188776163755115,
21,0005_2,,,
21,0005_3,93.32074363326186,23.330185908315464,
21,0006_1,103.61243684810873,25.903109212027182,
21,0006_2,106.62532811060296,26.65633202765074,66.57142857142857
21,0006_3,103.8527590700862,25.96318976752155,
150,0001_1,104.10797987913179,26.026994969782947,
150,0001_2,97.70481467362428,24.42620366840607,
150,0001_3,105.62604473630259,26.406511184075647,
150,0001_4,111.33418843546605,27.83354710886651,
150,0002_1,100.44928263547065,25.112320658867663,
150,0002_2,104.62968136210999,26.157420340527498,
150,0002_3,100.51299213732027,25.128248034330067,
150,0004_1,99.85917021618398,24.964792554045996,
150,0004_2,101.12839784914092,25.28209946228523,298.4285714285714
150,0004_3,90.41734054226762,22.604335135566906,
150,0005_1,101.2463449294832,25.3115862323708,
150,0005_2,101.49180918424811,25.372952296062028,
150,0005_3,108.95305653457132,27.23826413364283,
150,0005_4,109.01494698390414,27.253736745976035,
150,0006_1,106.48627029567294,26.621567573918234,
150,0006_2,101.27028805639883,25.317572014099706,
150,0006_3,104.5320183354487,26.133004583862174,
