Condition_mM,Motility,Thrashing,Volume
21,0.0,0.18181818181818182,0.8181818181818182
150,0.0,0.0,1.0
250,0.0,0.2222222222222222,0.7777777777777778
350,0.0,0.23529411764705882,0.7647058823529411
450,0.0,0.06666666666666667,0.9333333333333333
550,0.058823529411764705,0.11764705882352941,0.8235294117647058
650,0.11538461538461539,0.057692307692307696,0.8269230769230769
750,0.05263157894736842,0.3157894736842105,0.631578947368421
850,0.19047619047619047,0.38095238095238093,0.42857142857142855
950,0.2,0.3333333333333333,0.4666666666666667
1050,0.40625,0.3125,0.28125
