Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0002_1,0002_2,0002_3,0002_4,0002_5,0002_6,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_8,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_8,0007_1,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0007_9
28,1.9285714285714284,,2618872.9897409524,2521311.7911452847,,,,,,,,,2852179.8951007584,3138080.1602884033,,,,,2798935.956817561,,,,,,,,,,1490221.778383025,,,,,,,,,,,,,,2434894.826099257,2987415.9136871165,,3209175.465211242,3029340.80023793,3466583.654968559,,3225166.3410238046,,2484397.852087206
29,2.0,,,,,,,,,2268532.0051685944,,,2931328.832446769,3327813.1789379646,,,,,,,2906687.0245260214,,,,1692700.8920708338,,,,1490221.778383025,,,,,1609500.6259675142,,,,,,,,,,3109682.1969022052,,2936440.8243467608,3219732.666657159,3295661.6641353043,,2941756.439975692,,
30,2.071428571428571,,2826609.4086253317,2405967.103656738,,,2653456.070652241,,,2274593.261804865,3131213.375909236,,2992179.357932555,3347210.3632871076,,,,2390338.777056859,2725360.5653099297,,,,,,,,,,1490221.778383025,,,,,,,,,,,,,,3067112.6317587267,2935956.8346160916,,2966369.714286145,3105793.0901154988,,,3232986.923683561,,2539513.1862787902
31,2.142857142857143,,2771030.0211242847,2502393.040916567,,,2584994.6548109404,,,2286872.3465363635,2986218.4337479454,,2984721.949912467,3406436.8859520904,2362366.222033891,,,2433409.714522422,2517727.747979891,,2996098.8503405275,,,,,,,,1490221.778383025,,,,,,,,,,,,,,3104198.3982356642,3003159.1158567057,,2976472.4103025924,2776933.235858682,3336757.305625092,,3250126.7615986164,,2511330.1080135936
32,2.214285714285714,,2794637.4378634864,,,,,,,,,,2739734.2860265695,3273765.3014884647,,,,,2518089.5490247933,,3012410.241825905,,,,,,,,1490221.778383025,,,,,,,,,,,,,,,2893603.138206142,,2924044.9762463165,2861899.923943009,3223545.093212002,,3033704.219624681,,2600997.1888635987
33,2.2857142857142856,,2509176.4934260026,,,,,,,,,,2892692.099118604,3382601.529487236,2273916.9709147625,,,2099834.548515162,2233184.188253675,,2974393.0405453104,,,,,,,,,,1798407.270310147,,,,,,,,,,,,,2866045.9860381032,,2891333.832180347,2995016.3910962455,3348090.1263315706,,2999839.128289941,,2480887.635954516
34,2.357142857142857,,2689470.4216662617,2366609.101570263,,,,,,2283086.6395625593,3014694.5727896513,,2894630.275870279,3104002.2084592134,,,,2377681.711078325,2646436.6670426107,,2812778.240560758,,,,,,,,,,1798407.270310147,,,,,,,,,,,,,2854843.6182253812,,2737954.77299993,2843584.69817415,3362661.6694470593,,3199590.5236643865,,
35,2.4285714285714284,,2562459.085134675,2212772.4644230683,2730527.2099428936,,,,2661851.042648408,,3156250.084169116,,,3057051.164455406,2274502.4271563506,,,,2600249.2302730964,,,,,,,,,,1490221.778383025,,,,,,,,,,,,,,,2921590.2264957554,,2971906.234328021,2950767.6144800964,3353978.044899952,,3062503.954637243,,2448683.815725148
36,2.5,,2822728.571018535,2174038.6529882546,,,,,,,2776658.273683521,,2732171.615149944,3212780.4478266723,2186641.053822235,,,,2613293.8304166356,,2970305.9047544403,,,,1706769.4778821657,,,,1490221.778383025,,,,,,,,,,,,,,,2944186.905274795,,3031256.6574273244,2977961.176145295,3463753.9866647064,,3052438.0021060654,,2613362.9934451086
37,2.571428571428571,,2600343.909281402,,,,2673233.9499131404,,,,2553877.1505949325,,3049839.539610373,3163759.6011033137,2142057.1715075118,,,,2580981.5334703233,,3022890.9955157377,,,,,,,,,,,,,,,,,,,,,,,2841693.387247875,,,3192352.631509308,3519597.1201827014,,3235174.3519164235,,2438605.324671347
