Condition_mM,Track,Time,MidbodyCurvature,CenteredCurvature,ThrashRate_Hz
850,0002_1,0.0,254.24280974193977,8.105919815859409,0.7
850,0002_1,0.0714285714285714,254.24280974193977,16.211839631718817,0.7
850,0002_1,0.1428571428571428,238.03097011022095,0.0,0.7
850,0002_1,0.2142857142857142,238.03097011022095,0.0,0.8
850,0002_1,0.2857142857142857,,,
850,0002_1,0.3571428571428571,,,
850,0002_1,0.4285714285714285,,,
850,0002_1,0.5,,,
850,0002_1,0.5714285714285714,152.27907351506173,126.92142359314508,0.9
850,0002_1,0.6428571428571428,,,
850,0002_1,0.7142857142857142,,,
850,0002_1,0.7857142857142857,-77.87695703449455,-19.783020293484135,0.9
850,0002_1,0.8571428571428571,-63.20005799107931,-3.8295909375516715,0.9
850,0002_1,0.9285714285714284,-60.646997366044864,0.0,0.9
850,0002_1,1.0,-58.09393674101042,2.5530606250344476,0.9
850,0002_1,1.0714285714285714,25.35764992191665,86.00464728796152,1.0
850,0002_1,1.1428571428571428,,,
850,0002_1,1.2142857142857142,,,
850,0002_1,1.2857142857142856,25.35764992191665,86.00464728796152,1.0
850,0002_1,1.357142857142857,-60.646997366044864,0.0,1.0
850,0002_1,1.4285714285714284,-77.87695703449455,-19.783020293484135,1.0
850,0002_1,1.5,-88.0166536110381,-29.922716870027678,1.0
850,0002_1,1.5714285714285714,-72.47963574203064,-11.832638375985773,1.0
850,0002_1,1.6428571428571428,-69.92657511699619,0.0,1.0
850,0002_1,1.7142857142857142,-58.09393674101042,13.109168688502997,1.0
850,0002_1,1.7857142857142856,25.35764992191665,97.83728566394728,1.0
850,0002_1,1.857142857142857,114.89181841760518,192.76877545209973,1.0
850,0002_1,1.9285714285714284,19.607593378692336,97.4845504131869,1.0
850,0002_1,2.0,-97.29623136198941,-24.816595619958775,1.0
850,0002_1,2.071428571428571,-128.35283799956994,-58.42626288257375,1.0
850,0002_1,2.142857142857143,-171.67047527841353,-113.57653853740311,1.0
850,0002_1,2.214285714285714,-175.99462144344466,-117.90068470243423,1.0
850,0002_1,2.2857142857142856,-148.19657293317417,-50.900341571184754,1.0
850,0002_1,2.357142857142857,-112.81582013056251,-15.45413211916906,1.0
850,0002_1,2.4285714285714284,14.564639709945368,111.92632772133882,1.0
850,0002_1,2.5,14.564639709945368,111.92632772133882,1.0
850,0002_1,2.571428571428571,6.763402450739626,104.12509046213307,1.0
850,0002_1,2.642857142857143,-21.64063437048845,37.8605268204525,1.0
850,0002_1,2.714285714285714,-97.36168801139345,-89.92307205151904,1.0
850,0002_1,2.7857142857142856,-97.36168801139345,-108.02570909173595,1.0
850,0002_1,2.8571428571428568,-97.36168801139345,-111.92632772133882,1.0
850,0002_1,2.9285714285714284,54.080419270416556,39.51577956047119,1.0
850,0002_1,3.0,82.48445609164463,48.16192660146367,1.0
850,0002_1,3.071428571428571,110.8884929128727,42.60605523184212,1.1
850,0002_1,3.142857142857143,,,
850,0002_1,3.214285714285714,289.2452341420156,89.17837061457143,1.1
850,0002_1,3.2857142857142856,289.2452341420156,0.0,1.1
850,0002_1,3.3571428571428568,301.64978451447877,12.404550372463177,1.0
850,0002_1,3.4285714285714284,,,
850,0002_1,3.5,,,
