Condition_mM,Track,Time,Speed,Speed_norm_pct,V0
950,0001_1,0.0,,,147.73810736116965
950,0001_1,0.0714285714285714,,,147.73810736116965
950,0001_1,0.1428571428571428,,,147.73810736116965
950,0001_1,0.2142857142857142,,,147.73810736116965
950,0001_1,0.2857142857142857,,,147.73810736116965
950,0001_1,0.3571428571428571,,,147.73810736116965
950,0001_1,0.4285714285714285,,,147.73810736116965
950,0001_1,0.5,,,147.73810736116965
950,0001_1,0.5714285714285714,,,147.73810736116965
950,0001_1,0.6428571428571428,,,147.73810736116965
950,0001_1,0.7142857142857142,,,147.73810736116965
950,0001_1,0.7857142857142857,,,147.73810736116965
950,0001_1,0.8571428571428571,,,147.73810736116965
950,0001_1,0.9285714285714284,,,147.73810736116965
950,0001_1,1.0,287.6297422469207,194.68893123408125,147.73810736116965
950,0001_1,1.0714285714285714,239.7204146924496,162.2603801918312,147.73810736116965
950,0001_1,1.1428571428571428,,,147.73810736116965
950,0001_1,1.2142857142857142,,,147.73810736116965
950,0001_1,1.2857142857142856,,,147.73810736116965
950,0001_1,1.357142857142857,290.8747304070619,196.88537751195884,147.73810736116965
950,0001_1,1.4285714285714284,,,147.73810736116965
950,0001_1,1.5,,,147.73810736116965
950,0001_1,1.5714285714285714,,,147.73810736116965
950,0001_1,1.6428571428571428,504.03759466177024,341.16965735155185,147.73810736116965
950,0001_1,1.7142857142857142,493.15373086171616,333.8026590906043,147.73810736116965
950,0001_1,1.7857142857142856,,,147.73810736116965
950,0001_1,1.857142857142857,411.458394264606,278.50525610073606,147.73810736116965
950,0001_1,1.9285714285714284,264.4580534156303,179.00463065302432,147.73810736116965
950,0001_1,2.0,137.71316262064005,93.2143812320392,147.73810736116965
950,0001_1,2.071428571428571,112.53058435793278,76.16896301699168,147.73810736116965
950,0001_1,2.142857142857143,284.1222209690657,192.31478326338856,147.73810736116965
950,0001_1,2.214285714285714,,,147.73810736116965
950,0001_1,2.2857142857142856,431.68942625218506,292.1991041870129,147.73810736116965
950,0001_1,2.357142857142857,463.93774826357907,314.0271366340225,147.73810736116965
950,0001_1,2.4285714285714284,513.5940999387624,347.63820189140415,147.73810736116965
950,0001_1,2.5,343.2647676535423,232.34680190830937,147.73810736116965
950,0001_1,2.571428571428571,245.12140757586744,165.9161687895653,147.73810736116965
950,0001_1,2.642857142857143,60.49070646289835,40.94455218315411,147.73810736116965
950,0001_1,2.714285714285714,113.57204470782719,76.87389985996097,147.73810736116965
950,0001_1,2.7857142857142856,74.77984841029118,50.61649275598189,147.73810736116965
950,0001_1,2.8571428571428568,36.04731270287933,24.399468320489483,147.73810736116965
950,0001_1,2.9285714285714284,41.459004667427116,28.062498842004175,147.73810736116965
950,0001_1,3.0,111.87618188538382,75.72601536845495,147.73810736116965
950,0001_1,3.071428571428571,209.17717338840106,141.5864715777316,147.73810736116965
950,0001_1,3.142857142857143,95.07888641619853,64.35637230938856,147.73810736116965
950,0001_1,3.214285714285714,45.28951175082412,30.655267323891323,147.73810736116965
950,0001_1,3.2857142857142856,36.75026439531729,24.875277646190046,147.73810736116965
950,0001_1,3.3571428571428568,108.25351750636138,73.27393009152215,147.73810736116965
950,0001_1,3.4285714285714284,93.45550339287061,63.25754746837493,147.73810736116965
950,0001_1,3.5,83.18200375114782,56.30368849101064,147.73810736116965
950,0001_1,3.571428571428571,47.483897455034686,32.140588710096736,147.73810736116965
950,0001_1,3.642857142857143,54.46093565610118,36.86316051346362,147.73810736116965
950,0001_1,3.714285714285714,130.33009859112013,88.21698133204534,147.73810736116965
950,0001_1,3.7857142857142856,156.17447433660487,105.7103526815943,147.73810736116965
950,0001_1,3.8571428571428568,230.98778016536204,156.34949187529196,147.73810736116965
950,0001_1,3.928571428571429,279.05594325430616,188.8855544711351,147.73810736116965
950,0001_1,4.0,275.94804090407393,186.78189793610554,147.73810736116965
950,0001_1,4.071428571428571,258.54109421561304,174.9995981629625,147.73810736116965
950,0001_1,4.142857142857142,240.30346976245477,162.65503467903116,147.73810736116965
950,0001_1,4.214285714285714,140.15627750078633,94.86806078959147,147.73810736116965
950,0001_1,4.285714285714286,111.25016941398681,75.30228415747726,147.73810736116965
