Condition_mM,Track,Time,MidbodyCurvature,CenteredCurvature,ThrashRate_Hz
450,0001_1,0.0,210.06743777473108,81.51673354798473,0.2
450,0001_1,0.0714285714285714,128.55070422674635,0.0,0.2
450,0001_1,0.1428571428571428,0.1751189998161493,-128.37558522693018,0.2
450,0001_1,0.2142857142857142,128.55070422674635,0.0,0.2
450,0001_1,0.2857142857142857,128.55070422674635,0.0,0.2
450,0001_1,0.3571428571428571,,,
450,0001_1,0.4285714285714285,142.71673345196862,14.166029225222275,0.2
450,0001_1,0.5,142.71673345196862,14.166029225222275,0.2
450,0001_1,0.5714285714285714,128.55070422674635,0.0,0.2
450,0001_1,0.6428571428571428,0.1751189998161493,-128.37558522693018,0.2
450,0001_1,0.7142857142857142,,,
450,0001_1,0.7857142857142857,,,
450,0001_1,0.8571428571428571,-170.48685507832164,-170.6619740781378,0.2
450,0001_1,0.9285714285714284,,,
450,0001_1,1.0,,,
450,0001_1,1.0714285714285714,,,
450,0001_1,1.1428571428571428,,,
450,0001_1,1.2142857142857142,-168.53284801140313,0.0,0.2
450,0001_1,1.2857142857142856,-168.53284801140313,0.9770035334592535,0.2
450,0001_1,1.357142857142857,,,
450,0001_1,1.4285714285714284,,,
450,0001_1,1.5,,,
450,0001_1,1.5714285714285714,,,
450,0001_1,1.6428571428571428,,,
450,0001_1,1.7142857142857142,,,
450,0001_1,1.7857142857142856,-257.71503301906193,-60.058817330692506,0.2
450,0001_1,1.857142857142857,,,
450,0001_1,1.9285714285714284,,,
450,0001_1,2.0,,,
450,0001_1,2.071428571428571,-197.65621568836943,0.0,0.2
450,0001_1,2.142857142857143,-197.65621568836943,0.0,0.2
450,0001_1,2.214285714285714,,,
450,0001_1,2.2857142857142856,,,
450,0001_1,2.357142857142857,,,
450,0001_1,2.4285714285714284,,,
450,0001_1,2.5,,,
450,0001_1,2.571428571428571,,,
450,0001_1,2.642857142857143,,,
450,0001_1,2.714285714285714,,,
450,0001_1,2.7857142857142856,,,
450,0001_1,2.8571428571428568,,,
450,0001_1,2.9285714285714284,,,
450,0001_1,3.0,,,
450,0001_1,3.071428571428571,,,
450,0001_1,3.142857142857143,,,
450,0001_1,3.214285714285714,,,
450,0001_1,3.2857142857142856,,,
450,0001_1,3.3571428571428568,,,
450,0001_1,3.4285714285714284,,,
450,0001_1,3.5,,,
450,0001_1,3.571428571428571,,,
450,0001_1,3.642857142857143,,,
450,0001_1,3.714285714285714,,,
450,0001_1,3.7857142857142856,,,
450,0001_1,3.8571428571428568,,,
450,0001_1,3.928571428571429,,,
450,0001_1,4.0,,,
450,0001_1,4.071428571428571,-17.49809447788589,-35.35837550534801,0.4
450,0001_1,4.142857142857142,,,
450,0001_1,4.214285714285714,,,
450,0001_1,4.285714285714286,,,
450,0001_1,4.357142857142857,17.860281027462122,0.0,0.5
450,0001_1,4.428571428571428,17.860281027462122,0.0,0.5
450,0001_1,4.5,17.860281027462122,0.0,0.5
450,0001_1,4.571428571428571,17.860281027462122,0.0,0.5
450,0001_1,4.642857142857142,17.860281027462122,0.0,0.5
450,0001_1,4.714285714285714,5.822535601979777,-12.037745425482345,0.6
450,0001_1,4.785714285714286,1.277637435658825,-16.582643591803297,0.6
450,0001_1,4.857142857142857,,,
450,0001_1,4.928571428571428,,,
450,0001_1,5.0,,,
450,0001_1,5.071428571428571,29.898026452944464,-9.855575277132388,0.6
450,0001_1,5.142857142857142,39.75360173007685,0.0,0.6
450,0001_1,5.214285714285714,39.75360173007685,0.0,0.6
450,0001_1,5.285714285714286,39.75360173007685,-33.106125355096296,0.7
450,0001_1,5.357142857142857,39.75360173007685,-66.21225071019258,0.7
450,0001_1,5.428571428571428,105.96585244026943,0.0,0.7
450,0001_1,5.5,172.17810315046202,66.21225071019259,0.7
450,0001_1,5.571428571428571,105.96585244026943,0.0,0.7
450,0001_1,5.642857142857142,105.96585244026943,0.0,0.7
450,0001_1,5.7142857142857135,105.96585244026943,0.0,0.7
450,0001_1,5.785714285714286,105.96585244026943,0.0,0.7
450,0001_1,5.857142857142857,105.96585244026943,0.0,0.7
450,0001_1,5.928571428571428,105.96585244026943,-14.469765419462675,0.7
450,0001_1,6.0,120.4356178597321,-10.710864944873833,0.8
450,0001_1,6.071428571428571,131.14648280460594,0.0,0.8
450,0001_1,6.142857142857142,131.14648280460594,0.0,0.8
450,0001_1,6.2142857142857135,131.14648280460594,0.0,0.8
450,0001_1,6.285714285714286,131.14648280460594,0.0,0.8
450,0001_1,6.357142857142857,131.14648280460594,0.0,0.8
450,0001_1,6.428571428571428,131.14648280460594,0.0,0.8
450,0001_1,6.5,131.14648280460594,0.0,0.9
450,0001_1,6.571428571428571,220.7550908632323,0.0,0.9
450,0001_1,6.642857142857142,273.4839366449744,52.72884578174208,0.9
450,0001_1,6.7142857142857135,273.4839366449744,52.72884578174208,0.9
450,0001_1,6.785714285714286,273.4839366449744,52.72884578174208,0.9
450,0001_1,6.857142857142857,273.4839366449744,52.72884578174208,1.0
450,0001_1,6.928571428571428,273.4839366449744,52.72884578174208,1.0
450,0001_1,7.0,273.4839366449744,52.72884578174208,1.1
450,0001_1,7.071428571428571,273.4839366449744,52.72884578174208,1.1
450,0001_1,7.142857142857142,210.51087663284608,0.0,1.1
450,0001_1,7.2142857142857135,99.09156423379929,-42.08848412699908,1.1
450,0001_1,7.285714285714286,99.09156423379929,-42.08848412699908,1.0
