Frame,Time,0001_1,0001_3,0001_4,0001_5,0001_6,0002_1,0002_3,0002_4,0002_5,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8
19,1.2857142857142856,,,,,,,,2222352.9074980044,,,,,,,2426315.2461582543,3705804.962835165,
20,1.357142857142857,,,,,,,,2201127.9491798333,,,,,,,2706611.8400983484,3422830.2052734564,
21,1.4285714285714284,,,,,,,,2105792.4887521532,,,,,,,2557235.488239122,3831999.0191328423,
22,1.5,,,,,,,,2208711.4638188737,,,,,,,2347377.7945821444,3525236.117462525,
23,1.5714285714285714,,,,,,,,1967852.7114229894,,,,,,,2676744.665154,3370917.729531948,
24,1.6428571428571428,,,,,,,,2072317.3833394302,,,,,,,2722661.448417398,3445542.7784931413,
25,1.7142857142857142,,,,2058681.7964523716,,,,2060086.974381788,,,,,,,2603317.7146902084,3317630.299960571,
26,1.7857142857142856,,,,,,,,,,,,,,,2688962.5961375786,3731302.0990374093,
27,1.857142857142857,,,,,,,,1937190.7398682514,,,,,,,2729112.454248833,3392133.2067224765,
28,1.9285714285714284,,,,,,,,2150744.068585644,,,,,,,,3173641.493022703,
29,2.0,,,,,,,,2162976.95574073,,,,,,,2780812.306576814,3336603.4371765205,
30,2.071428571428571,,,,,,,2413504.8877141564,,,,,,,,2624859.6912997486,3440550.2001151587,
31,2.142857142857143,,,,,,,,2147556.7633662424,,,,,,,2519452.9108747668,3443433.0199576565,
32,2.214285714285714,,,,,,,,,,,,,,,2637777.189740098,3426179.8186897878,
33,2.2857142857142856,,2277192.1161887576,,,,,,2093561.1363233211,,,,,,,2454947.071860855,3511501.5084022647,
34,2.357142857142857,,,2017983.7368640467,,,,2434236.3149288446,2101791.2059248565,,,,,,,2681711.4443417992,3333823.012834415,
35,2.4285714285714284,,,2259265.1641277284,,,,,,,,,,,,2749249.656831233,3554876.180253785,
36,2.5,,2233225.816909918,2289276.4919984005,,,,,,,,,,,,,3641233.9437166248,
37,2.571428571428571,,,2025230.8138035694,,,,,2048376.6943048676,,,,,,,,3448076.0771225425,
38,2.642857142857143,,,2190716.2372847213,,,,,2212032.6976383002,,,,,,,,3325817.958822315,
39,2.714285714285714,,,2157857.3383304346,,,,,2093052.2721223058,,3071433.9308935283,,,,,,3236305.2689044885,
40,2.7857142857142856,,,2021138.180302781,,,,2438407.1971924966,2186821.766549099,,2931913.2251682584,,,,,2331446.453914069,3172325.043975232,
41,2.8571428571428568,,,2174856.711864686,2031400.5275385731,,,,1937074.6822841167,,2722829.7205351694,,,,,2572298.6415696605,3084367.5379996854,
42,2.9285714285714284,,,1993814.598904401,,,,,,,2629542.959974133,,,,,2515477.831791737,3336328.4575653253,
43,3.0,,,2264940.6682485226,1966511.2837562566,,,,,,2573049.0743736164,,,,,2446213.6696410147,3402745.48459921,
44,3.071428571428571,,,2257092.6515422086,,,,,2150509.4594207765,,2536107.857046376,,,,,2427189.019963404,3436244.0751913865,
45,3.142857142857143,,,2224836.8756663753,2071227.138642288,,,,,,2735060.4590640813,,,,,2717648.689689819,3203940.481595819,
46,3.214285714285714,,,2195717.101379625,2022012.8515323913,,,,,,2845870.895415519,,,,,2433610.359065156,3139054.4589380645,
47,3.2857142857142856,1914037.9074692277,,2311283.817072954,,,,,,,2825914.01891645,,,,,2554558.8032809626,3167742.2987965257,
48,3.3571428571428568,,,2354289.309732273,,,,,2155743.8903968898,,,,,,,2628181.312533136,3196394.508678145,
49,3.4285714285714284,,,,1860877.6575845045,,,,,,,,,,,2441059.0657827696,3127501.8298564507,
50,3.5,,,,1769368.2224526003,,,,,,2552272.6168273706,,,,,2638930.798811427,3015377.559920851,
51,3.571428571428571,,,,,,,,2218490.1929940083,,2524427.109666844,,,,,2780048.607538166,2733195.733223081,
52,3.642857142857143,,,,,,,2372936.114224063,,,,,,,,2562758.201879807,3027670.6601689514,
53,3.714285714285714,,,,2048252.8409333883,,,,,,,,,,,2275918.619247925,3305621.5022747964,
54,3.7857142857142856,,,,,,,,2204852.6742300126,,,,,,,2501933.5887496383,3412801.686387027,
55,3.8571428571428568,,,,,,,,1929043.6441837219,,,,,,,2572297.8753824304,3358942.7463471047,
56,3.928571428571429,,,,2081983.2596359523,,,,,,,,,,,2392115.36892782,3284471.9653724004,
57,4.0,,,,2002442.8678433562,,,,,,,,,,,2398529.875264855,3377191.9487177734,
58,4.071428571428571,,,,2065402.520067596,,,,,,,,,,,2557381.0355441337,3486288.0523226126,
59,4.142857142857142,,1914653.205377142,,,,,,2130556.9393462962,,,,,,,2743041.311974613,3444103.954578816,
60,4.214285714285714,,,,2074986.0656663715,,,,,,,,,,,2669049.313385213,3427300.722746734,
61,4.285714285714286,,,,2103052.975271687,,,,2129818.296787147,,,,,,,2784723.8913571564,3373704.08392905,
62,4.357142857142857,,,,,,,,2043055.8650225545,,,,,,,2507080.9769115006,3371108.7108216067,
63,4.428571428571428,,,,,,,,1852255.6479744883,,,,,,,2661212.5491401637,3362728.3989607696,
64,4.5,,,,2105097.7011497375,,,,2042716.1610163576,,,,,,,2733918.766545218,3307317.6350996536,
65,4.571428571428571,,,,2082176.860377307,,,,2132535.569353845,,,,,,,2627748.5084138345,3344593.490368216,
66,4.642857142857142,,,,2022947.464895752,,,,2140966.2403936605,,3107154.12421432,,,,,2539794.5356629384,3466618.930154919,
67,4.714285714285714,,,,,,,,,,,,,,,2419257.864384524,3469287.29747058,
68,4.785714285714286,,,,1932995.6206655786,,,,,,,,,,,2617769.4322918546,3221205.634394842,
69,4.857142857142857,,,,1944304.4357068266,,,2451833.6928628436,2007579.8845285564,,,,,,,,2908094.3661764017,
70,4.928571428571428,,,,1813316.9852050666,,,,2163501.73558609,,,,,,,,2779615.3089907453,
71,5.0,,,,2019288.1624312266,,,,,,,,,,,,2873533.903718829,
72,5.071428571428571,,,,1962952.6164480476,,,,1926477.7714516816,,,,,,,,2851582.948817928,
73,5.142857142857142,,,,1929542.9944881548,,,,2055364.9208257585,,,,,,,2783199.989079026,3032318.8893771763,
74,5.214285714285714,,,,2056514.1268204239,,,,,,,,,,,2640484.4965454796,3459061.7404985735,
75,5.285714285714286,,,2063688.5415889688,1881450.112924321,,,,,,,,,,,2485665.4877849068,3331121.8481252473,
76,5.357142857142857,,,2231820.4259701855,,,,2415722.4507256453,,,,,,,,,2942128.701330411,
77,5.428571428571428,,,2382998.9959758986,1999447.014051904,,,,,,,,,,,2748251.820697814,3101208.3360142168,
78,5.5,,,2089937.325918876,,,,,2073064.3542216693,,,,,,,2702642.0189757394,3436593.8198172064,
79,5.571428571428571,,,2328571.5334470435,2079500.9850958304,,,,,,,,,,,2651745.368733027,3235400.7567236032,
80,5.642857142857142,,,2368371.3740584506,2105577.7284108107,,,2075295.1111874504,1994667.230660108,,,,,,,,3533382.7120251716,
81,5.7142857142857135,,,2092954.2087113694,2045704.4276786486,,,2318584.7519534733,2112530.140632592,,,,,,,2791881.684267603,3636102.8476050734,
