Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0002_4,0003_1,0003_2,0003_3,0003_4,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0005_4
13,0.8571428571428571,1769680.7641415265,2123120.8827609885,1997928.4232650513,2285634.497813429,1658047.0626820596,2136264.219971043,,2329503.24287971,1872503.5799002121,2322847.3047323804,2658098.211226104,2663290.728891221,2628759.661588379,2989644.3808567156,,2492585.6792179896,3020069.030794802,2824741.5096459147,
14,0.9285714285714284,2020303.8335006372,2108013.652548115,,2206306.6729133846,1636169.6011873523,,,2357715.3113454906,1955420.2571555742,2091699.1768863422,2751161.24533397,2573489.529760548,2649302.048704812,,,2765355.5552695687,2931236.827684655,3047994.6585146273,
15,1.0,1804393.2957173123,2092555.9698752325,1587832.4618771987,2304737.4460134283,1780765.6301484134,,,2472146.748626998,,2300089.6093082605,,2548238.0150866825,2597103.28555821,2761977.049143234,,2506552.58823159,,3113003.7800021307,
16,1.0714285714285714,1904503.9707332281,2220416.3856696724,,2267073.102097213,1674164.9482343849,,,2214424.350239897,1892078.3430025284,2290630.926114621,2597835.33694426,2389841.601292049,2586603.221258162,2601722.121983289,2567341.5573492823,2422597.2968580145,3013521.371080566,2888258.8913064133,
17,1.1428571428571428,2001947.5094159103,2088853.647127735,2129423.0303437873,2055991.8891558822,1896982.1762759804,,,2560340.0771140303,1984763.207149911,2208341.2280320823,2568380.1463976433,2315240.3240417703,2727178.683889196,2700523.4418826327,2613350.9547059406,2798078.9735172656,2840741.5322107766,2617772.379848285,
18,1.2142857142857142,1855997.7629803298,2379101.4594526165,,2087297.8813185699,1823588.7273548597,2289197.571378343,,2362677.954270891,1986736.8144072902,2231981.6754335184,2482608.9592836034,2315240.3240417703,2695307.5505181835,2711634.9579170225,,2616260.1075229226,3023070.651827082,3014867.9457930154,
19,1.2857142857142856,1827050.0152292764,2146173.554127995,,2241180.4914851924,1928386.592461866,2190031.479509358,,2483262.603710283,1994991.4657266554,2195681.6783576454,2724491.488028155,2270681.278306789,2824214.1560745626,2739073.3772473866,,2759726.1356281694,2937431.767791563,2912434.570258602,2424550.2279054914
20,1.357142857142857,1882533.9673032851,2273660.8395860177,,2117225.602951919,1933048.9856123996,2237243.3475764273,,2399048.040314399,1896417.4164671001,2199530.4666065616,2828276.9879465746,,2729384.518239518,2721829.6798043745,,2479353.2285509584,2810921.2653704374,2993701.3673412167,
21,1.4285714285714284,1790622.649756715,2223656.8546561184,1787432.8188161484,2224925.594332941,1819899.3976655893,2146762.2642960385,,2513377.9729849105,2024998.2370810383,1897733.3611262687,2602080.4586890396,2238941.2263313616,2610589.5319011784,,,2860060.4939771434,,3069314.050313368,
22,1.5,2071074.8553473128,2160261.219600412,1975939.173014152,2118884.8597372095,1762301.5528813708,,,2273611.567517838,1987975.1772377843,2045234.2494097783,2864317.129764094,,2733523.564930153,,,2499414.6484787785,,2809734.1122923843,
