Condition_mM,Track,SpeedOnset_s,ThrashOnset_s,VolumeOnset_s
450,0001_1,33.714285714285715,0.0,100.07142857142856
450,0001_10,3.2857142857142856,2.357142857142857,52.21428571428571
450,0001_2,11.5,5.357142857142857,51.285714285714285
450,0001_3,143.85714285714286,7.5,114.35714285714285
450,0001_4,60.21428571428571,6.571428571428571,47.5
450,0001_5,6.7142857142857135,5.071428571428571,95.57142857142856
450,0001_6,1.4285714285714284,0.0,55.5
450,0001_7,29.21428571428571,7.428571428571428,67.57142857142857
450,0001_8,7.7142857142857135,2.642857142857143,318.35714285714283
450,0001_9,34.214285714285715,6.928571428571428,110.28571428571428
450,0002_1,8.285714285714285,6.928571428571428,65.42857142857143
450,0002_10,63.785714285714285,1.7857142857142856,95.78571428571428
450,0002_2,48.57142857142857,0.0,100.21428571428572
450,0002_3,1.357142857142857,4.428571428571428,237.2142857142857
450,0002_4,26.21428571428571,3.7857142857142856,153.07142857142856
450,0002_5,1.0,7.5,18.71428571428571
450,0002_6,99.57142857142856,7.785714285714286,186.92857142857144
450,0002_7,11.357142857142856,13.214285714285714,66.28571428571428
450,0002_8,13.214285714285714,0.2857142857142857,223.28571428571428
450,0002_9,35.357142857142854,100.28571428571428,65.78571428571428
450,0003_1,10.571428571428571,,78.42857142857143
450,0003_10,139.35714285714286,135.85714285714286,237.57142857142856
450,0003_2,23.35714285714285,0.0,99.57142857142856
450,0003_3,45.785714285714285,0.0,57.285714285714285
450,0003_4,3.3571428571428568,0.0,77.28571428571428
450,0003_5,15.142857142857142,0.0,54.92857142857142
450,0003_6,28.85714285714285,8.571428571428571,94.0
450,0003_7,26.928571428571427,0.0714285714285714,88.42857142857143
450,0003_8,6.142857142857142,,47.785714285714285
450,0003_9,114.57142857142856,8.142857142857142,139.2142857142857
550,0001_1,27.35714285714285,0.0,148.92857142857142
550,0001_2,2.0,0.0,73.57142857142857
550,0001_3,18.5,0.0,99.21428571428572
550,0001_4,21.357142857142858,3.2857142857142856,45.14285714285714
550,0001_5,5.428571428571428,3.5,
550,0001_6,,0.0,96.35714285714285
550,0001_7,80.14285714285714,,182.2142857142857
550,0002_1,25.21428571428571,14.642857142857142,118.28571428571428
550,0002_2,14.0,46.21428571428571,92.0
550,0002_3,40.785714285714285,0.0,186.78571428571428
550,0002_4,112.71428571428572,43.285714285714285,54.57142857142857
550,0002_5,10.071428571428571,121.85714285714285,86.35714285714285
650,0001_1,29.5,7.071428571428571,166.35714285714286
650,0001_2,1.0,0.0,382.3571428571428
650,0001_3,28.85714285714285,5.857142857142857,83.42857142857143
650,0001_4,22.07142857142857,5.785714285714286,125.57142857142856
650,0001_5,36.64285714285714,0.0,119.42857142857142
650,0001_6,23.35714285714285,0.0,23.928571428571427
650,0001_7,27.0,0.0,132.78571428571428
650,0001_8,34.57142857142857,0.0,34.57142857142857
650,0002_1,12.928571428571429,0.0714285714285714,100.0
650,0002_2,3.4285714285714284,10.857142857142856,94.64285714285714
650,0002_3,14.571428571428571,6.7142857142857135,102.14285714285714
650,0002_4,27.428571428571427,6.571428571428571,86.0
650,0002_5,88.57142857142857,8.857142857142856,150.57142857142856
650,0002_6,12.142857142857142,7.357142857142857,142.64285714285714
650,0003_1,28.785714285714285,6.142857142857142,102.57142857142856
650,0003_2,12.571428571428571,0.0,153.35714285714286
650,0003_3,22.57142857142857,10.857142857142856,164.85714285714286
650,0003_4,11.357142857142856,10.357142857142856,183.85714285714283
650,0003_5,1.0,0.0,120.14285714285714
650,0003_6,17.57142857142857,0.0714285714285714,54.785714285714285
650,0003_7,21.5,0.0714285714285714,
650,0003_8,2.571428571428571,0.1428571428571428,123.57142857142856
650,0004_1,34.214285714285715,30.5,66.85714285714285
650,0004_2,15.571428571428571,0.0,211.5
650,0004_3,57.21428571428571,14.928571428571429,192.85714285714283
650,0004_4,21.142857142857142,0.0,45.07142857142857
650,0004_5,1.0,0.0,143.85714285714286
650,0004_6,24.285714285714285,0.0,149.28571428571428
650,0004_7,41.07142857142857,0.0714285714285714,162.57142857142856
650,0004_8,27.928571428571427,8.285714285714285,120.78571428571428
650,0005_1,42.35714285714285,0.0,146.78571428571428
650,0005_2,53.14285714285714,0.0,
650,0005_3,8.071428571428571,0.0,118.71428571428572
650,0005_4,5.071428571428571,4.714285714285714,154.5
650,0005_5,21.71428571428571,0.0714285714285714,169.0
650,0005_6,10.857142857142856,0.0714285714285714,157.5
650,0006_1,16.71428571428571,0.0,146.42857142857142
650,0006_2,42.5,0.0,111.5
650,0006_3,9.428571428571429,3.7857142857142856,116.28571428571428
650,0006_4,25.785714285714285,0.0,154.35714285714286
650,0006_5,47.64285714285714,0.0,52.71428571428571
650,0006_6,4.071428571428571,4.571428571428571,55.92857142857142
650,0006_7,,3.4285714285714284,
650,0006_8,88.0,81.57142857142857,105.64285714285714
650,0007_1,12.214285714285714,0.0,22.71428571428571
650,0007_2,12.357142857142856,0.0,31.71428571428571
650,0007_3,5.857142857142857,0.0,47.785714285714285
650,0007_4,58.42857142857142,0.0,41.14285714285714
650,0007_5,12.0,0.0,73.28571428571428
650,0007_6,1.0,0.0,89.78571428571428
650,0007_7,47.35714285714285,0.0,93.42857142857142
650,0007_8,32.285714285714285,6.285714285714286,165.2142857142857
650,0007_9,78.78571428571428,0.0,104.0
750,0001_1,20.642857142857142,4.642857142857142,117.92857142857142
750,0001_2,33.42857142857142,0.0,
750,0001_3,7.571428571428571,7.5,53.285714285714285
750,0001_4,100.35714285714285,0.0,
750,0001_5,9.928571428571429,6.357142857142857,42.57142857142857
750,0001_6,18.357142857142858,3.142857142857143,119.0
750,0002_1,6.928571428571428,7.571428571428571,71.64285714285714
750,0002_2,31.71428571428571,27.07142857142857,
750,0002_3,37.21428571428572,5.571428571428571,113.42857142857142
750,0002_4,43.5,6.571428571428571,35.785714285714285
750,0002_5,15.714285714285714,6.5,136.85714285714286
750,0003_1,7.928571428571428,6.071428571428571,125.14285714285714
750,0003_2,10.642857142857142,6.571428571428571,152.64285714285714
750,0003_3,9.571428571428571,0.0,122.71428571428572
750,0003_4,14.857142857142856,0.0,164.92857142857142
750,0003_5,61.71428571428571,0.0,75.92857142857143
750,0003_6,16.642857142857142,0.0,62.71428571428571
750,0003_7,27.928571428571427,0.0,36.21428571428572
750,0003_8,12.214285714285714,7.285714285714286,112.85714285714285
850,0002_1,22.5,5.0,
850,0002_2,34.285714285714285,0.0,107.0
850,0002_3,23.428571428571427,9.142857142857142,128.5
850,0002_4,21.785714285714285,8.428571428571429,55.42857142857142
850,0003_1,17.928571428571427,0.0,37.42857142857142
850,0003_10,63.285714285714285,0.0714285714285714,154.5
850,0003_2,6.5,5.357142857142857,167.5
850,0003_3,10.285714285714285,7.2142857142857135,164.7142857142857
850,0003_4,31.85714285714285,0.0,125.71428571428572
850,0003_5,19.0,0.0,114.78571428571428
850,0003_6,45.5,15.214285714285714,123.35714285714285
850,0003_7,8.285714285714285,6.071428571428571,29.5
850,0003_8,8.5,0.0,139.78571428571428
850,0003_9,1.1428571428571428,6.0,75.0
850,0004_1,24.57142857142857,3.928571428571429,142.07142857142856
850,0004_2,26.5,0.0,180.57142857142856
850,0004_3,20.357142857142858,0.0,157.35714285714286
850,0004_4,13.071428571428571,0.0,129.7142857142857
850,0004_5,21.785714285714285,8.285714285714285,156.14285714285714
850,0004_6,41.64285714285714,4.428571428571428,87.28571428571428
850,0004_7,4.714285714285714,6.285714285714286,143.2142857142857
850,0004_8,40.785714285714285,6.2142857142857135,138.57142857142856
950,0001_1,58.42857142857142,45.42857142857142,126.78571428571428
950,0001_2,9.857142857142856,0.0,107.71428571428572
950,0001_3,17.857142857142858,8.071428571428571,173.78571428571428
950,0001_4,73.14285714285714,68.0,132.14285714285714
950,0001_5,31.142857142857142,5.214285714285714,82.14285714285714
950,0001_6,13.571428571428571,0.0,108.07142857142856
950,0002_1,12.142857142857142,0.0,107.0
950,0002_2,17.428571428571427,7.285714285714286,111.5
950,0002_3,10.5,0.0,125.71428571428572
950,0002_4,10.428571428571429,0.0,108.07142857142856
950,0003_1,10.214285714285714,0.0,126.92857142857142
950,0003_10,10.071428571428571,0.5714285714285714,130.07142857142856
950,0003_2,33.57142857142857,0.0,105.21428571428572
950,0003_3,49.5,8.142857142857142,143.57142857142856
950,0003_4,24.428571428571427,5.428571428571428,141.2142857142857
950,0003_5,47.57142857142857,0.0,125.78571428571428
950,0003_6,41.85714285714285,0.0,112.07142857142856
950,0003_7,10.285714285714285,0.0714285714285714,46.285714285714285
950,0003_8,12.142857142857142,4.214285714285714,126.57142857142856
950,0003_9,5.785714285714286,38.21428571428572,111.92857142857142
950,0004_1,12.714285714285714,0.0,123.85714285714285
950,0004_10,3.642857142857143,7.428571428571428,91.0
950,0004_2,10.357142857142856,15.642857142857142,181.42857142857144
950,0004_3,11.071428571428571,0.0,141.14285714285714
950,0004_4,20.428571428571427,0.0,130.64285714285714
950,0004_5,10.0,10.714285714285714,162.64285714285714
950,0004_6,11.714285714285714,6.285714285714286,130.14285714285714
950,0004_7,6.0,0.0,73.64285714285714
950,0004_8,31.35714285714285,0.2142857142857142,169.5
950,0004_9,20.0,0.0,67.0
1050,0001_1,18.07142857142857,0.0,120.57142857142856
1050,0001_10,17.142857142857142,0.2142857142857142,94.14285714285714
1050,0001_2,10.785714285714285,27.642857142857142,
1050,0001_3,16.928571428571427,0.0,
1050,0001_4,21.71428571428571,0.0,98.64285714285714
1050,0001_5,1.5714285714285714,0.0,122.28571428571428
1050,0001_6,8.642857142857142,0.0,105.5
1050,0001_7,39.85714285714285,11.571428571428571,122.5
1050,0001_8,15.5,14.285714285714285,112.57142857142856
1050,0001_9,35.42857142857142,0.0714285714285714,86.42857142857143
1050,0002_1,18.71428571428571,0.0,44.71428571428572
1050,0002_2,59.21428571428571,3.571428571428571,120.64285714285714
1050,0002_3,6.928571428571428,0.0,141.0
1050,0002_4,16.428571428571427,5.5,131.5
1050,0002_5,30.5,56.42857142857142,93.64285714285714
1050,0002_6,6.571428571428571,5.571428571428571,
1050,0002_7,37.64285714285714,0.6428571428571428,174.78571428571428
1050,0003_1,20.07142857142857,2.714285714285714,248.07142857142856
1050,0003_2,49.57142857142857,0.0,152.92857142857142
1050,0003_3,18.857142857142858,0.0,82.07142857142857
1050,0003_4,37.42857142857142,0.0,53.285714285714285
1050,0003_5,41.5,11.357142857142856,119.78571428571428
1050,0003_6,45.5,0.0,177.0
1050,0003_7,30.928571428571427,0.2857142857142857,152.78571428571428
1050,0003_8,20.07142857142857,0.2857142857142857,148.7142857142857
1050,0003_9,19.5,6.857142857142857,150.35714285714286
1050,0004_1,9.642857142857142,0.0,130.07142857142856
1050,0004_2,13.428571428571429,5.142857142857142,138.7142857142857
1050,0004_3,17.428571428571427,0.0,146.42857142857142
1050,0004_4,14.071428571428571,0.0,136.7142857142857
1050,0004_5,9.5,4.714285714285714,131.7142857142857
1050,0004_6,10.142857142857142,7.642857142857142,346.85714285714283
1050,0004_7,27.5,0.0714285714285714,139.07142857142856
1050,0004_8,20.21428571428571,0.2142857142857142,97.35714285714285
