Frame,Time,0001_1,0001_10,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0001_9,0002_1,0002_10,0002_2,0002_3,0002_4,0002_5,0002_6,0002_7,0002_8,0002_9,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9
1,0.0,2791655.618485273,,2504957.7060357234,,2796142.6250586887,2575636.053977526,2169353.9560386655,,,,2096218.7882107059,,2968851.716646598,2623638.165406391,,,2105206.313891231,,,,2874042.1974456855,,,,,2676046.397278898,3238809.035185375,,2698741.322541271,
2,0.0714285714285714,2806328.994088537,,,,2896124.7343353173,2709842.3333315286,2191558.7325583887,,,,2127764.7834847867,,,2438731.5705525777,,,2202219.67115292,,,,2858807.633861746,,,,3174053.4985701777,2877720.4247869477,3125004.9402861367,2948295.741019429,2653239.019872732,
3,0.1428571428571428,2763251.105201447,,2560223.665768179,2288423.5588416895,2890970.191810701,2626447.975679635,2222566.9385103667,2581013.9227155866,2005288.3372083537,,2129027.614556093,,,2604672.231787587,,,2314598.0467074085,,,,,,,,2871040.343204613,3241781.480522669,3156083.16716192,3119253.213080131,2861102.767113754,
4,0.2142857142857142,2667186.693131125,,2492520.466304242,2371118.4360779,,2476009.960775642,2190561.743926961,,2055936.6197006772,,2088997.9456867077,,,2770777.922424421,,,2079672.4347976549,2358220.9060405404,,,,,,,2989385.1595839136,3123686.9958790625,3001011.339609261,3066424.004683864,2871210.114055326,
5,0.2857142857142857,2530483.8995068916,,2638775.983878262,,,2409441.1821837355,2054248.0127944974,,2378485.462538542,,,,2958252.946226366,2596389.9204250537,,,2257562.235555827,,3004460.161013531,,,,,,2687091.1079079546,3313060.5892134984,3124607.169528891,2755436.2476255125,2986610.0137994764,
6,0.3571428571428571,,,2594423.585278593,,,2588031.624446886,,2559008.145152155,2094508.0945330444,,2172470.482806546,,,,,,2064547.416394548,2416506.643774921,2971216.519924301,,2751419.7950242097,,,,2849147.066954643,3074236.6265781457,3201475.480569786,2718505.090953379,2855285.759237507,3079627.043026225
7,0.4285714285714285,2797174.6049914076,,2506731.125147625,2274848.7228695117,2848574.193073177,2687185.177406324,2089050.7013976825,,2271524.3121391516,,2073961.2796759568,,,2521691.8370069945,,,,,,,2900786.2010625717,,,,2756601.587866776,3025948.17501662,3073483.9091756106,2732834.1456496306,3065406.3930112757,2871681.365817421
8,0.5,2621698.534319394,,2583095.3907102323,2315155.5569087407,,2645513.058604332,,2589943.030856323,,,2021231.903302229,,2982411.748005574,,,,2239074.947676886,,,,,,,,3127757.0425853254,2846059.412443911,,2945702.338819468,3021432.455007543,3160400.940868404
9,0.5714285714285714,2686708.935143669,,2584009.742180337,,2733949.265668704,2587084.1017449354,2201989.264928817,2466024.727757313,,,2082244.819817499,,2722722.0762386485,2715912.7592270616,,,,2324613.0043097753,,,2838549.8619230203,,,,2543821.941558963,2952572.0444627106,3257503.652627584,3024400.2931222385,3075955.03654013,3165848.3514296883
10,0.6428571428571428,,,2577534.804104311,2403864.0973831313,,2567046.649944265,2261774.006785036,,2008322.9128338555,,2058503.1548847558,,2915164.2159383995,2389740.391944942,,,2388211.388982306,,,,,,,,2666510.563016491,3082816.548623674,,3072305.7715224396,3045305.7683986956,
11,0.7142857142857142,,,2604974.3298542295,2339637.476104188,,2600599.2937049903,2208775.5647256966,,2265459.4105382566,,,,2986769.3153801477,2454023.062401949,,,2107971.098312888,,2675768.166185505,,2880456.9194896296,,2703415.638946548,,2830878.4923524624,3270019.999154574,3262279.5152987298,3002371.133305754,2922847.824201485,
12,0.7857142857142857,,,2586578.140727003,2051086.3886340444,,2837629.81963002,2174082.9401276005,,2391833.1571429987,,2169712.381753091,,,2568245.3799472195,,2624978.689916869,2137527.8502031914,2305359.1444970598,3064147.410700669,,2881427.8678037063,,,,2752112.6225100984,3339475.491627775,,2930642.222150041,2704842.956199661,
13,0.8571428571428571,2165572.82870393,,,2311540.9009308866,3001473.415429544,2537769.141921775,,,2370309.0260392195,,,,,2564313.1476767054,,2550490.9857686255,2543546.2599549238,2226405.5958571057,3016395.0957958377,,2799639.743355746,,,,2674665.5179010187,2999442.6387758395,3090482.583492977,2683883.5787445516,2928150.957269034,3167294.7597000343
