Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
22,1.5,,,2570666.6009084815,2243073.211578229,2178883.9226025287,2403681.095419815,,,,,3323723.254752963,
23,1.5714285714285714,,2501377.869821353,2657318.6378732678,1994987.3274756244,2129260.256902395,,,,,2257216.380192478,,2814041.6881230003
24,1.6428571428571428,2280539.491487098,2573798.655153536,,,2195541.8896762696,2373263.5098508243,,,,,3137183.0638886103,
25,1.7142857142857142,,2566757.0508424607,,2099652.0998900402,1981903.4201301467,,,,2535683.0841663345,,3089561.6135306396,
26,1.7857142857142856,,2515019.4363846206,2838819.4216052196,2198332.0773459873,2196596.7185797114,2277544.238903382,,,,,3341338.293272376,
27,1.857142857142857,2272529.6777962474,2441945.9812952285,2660925.83727554,,2267835.37016911,2249421.378365633,,,,,2879034.3384416783,
28,1.9285714285714284,,2458571.139847906,,2055964.2516478826,2137424.304091376,,,,2531264.2547226967,,3168544.015512625,
29,2.0,,2478098.3785984498,2707469.1196032614,2216025.192135816,2196884.5777050164,,,,,,3054730.361902808,
30,2.071428571428571,,2263619.641990273,,,2177697.442213164,,,,,,3017462.077641296,
31,2.142857142857143,2213553.342667924,2394010.418133283,,2068250.9259027285,2291463.298634824,,,,,,,
32,2.214285714285714,,2283622.1934387046,,2103739.529283736,2065889.6770644586,,,,,,3035927.0470112786,
33,2.2857142857142856,,2449137.719034726,2668401.265378656,,2140289.4786563963,,,,2422941.7204632303,,3079109.6593143246,
34,2.357142857142857,,2461057.220516427,,1892909.4071490448,2389402.767744552,,,,,,3135451.652393291,
35,2.4285714285714284,,2613443.555406486,2694741.0279743876,2196326.596992793,2301328.0300884573,,,,,,2980978.3967018905,
36,2.5,,2646002.718176394,2808624.955209105,,2223862.31844643,2398160.3046503994,,,,,3048321.6318585053,
37,2.571428571428571,2294918.9795569377,2492728.5583859845,2559005.7454073853,,2229212.903821681,,,,,2113417.7562594963,3180877.345330046,
38,2.642857142857143,,2428548.566432565,2754634.690218646,2138815.7077924786,2082461.1022001365,,,,,,3043460.2919460055,
39,2.714285714285714,,2427945.615775621,2568824.5980526297,,2296739.039944476,,,,,,3102978.5434171865,
40,2.7857142857142856,,2405302.7452287185,2784108.486232047,2057269.8274932853,2107689.661118585,,,,,2233545.6479091733,,
41,2.8571428571428568,,2681845.274047309,,2255526.2449401994,2251438.4750486533,,,,,,3137584.0782387615,
42,2.9285714285714284,,2429427.2813111083,2671262.1638763063,2120609.7238972415,2103685.5026829406,,,,,2048556.1632108889,3051496.090259193,
