Condition_mM,Modality,MedianOnset_s,MeanOnset_s,SEOnset_s,NTracks
21,Volume,152.2142857142857,179.87755102040816,55.1174021167943,7
21,Speed,18.21428571428571,24.061224489795915,10.320653862734673,7
21,Thrashing,6.142857142857142,6.978021978021977,2.7064469494089436,13
150,Volume,147.28571428571428,142.34920634920636,29.2391505656363,9
150,Speed,64.96428571428571,96.13392857142857,31.82423839921755,8
150,Thrashing,2.0,13.059523809523808,6.442060363218899,12
250,Volume,105.28571428571428,143.92857142857142,22.673692653280234,17
250,Speed,58.92857142857142,55.458333333333336,15.371008183385243,12
250,Thrashing,9.428571428571429,13.4010989010989,4.63427311889344,13
350,Volume,139.57142857142856,136.98660714285714,16.74070614680852,16
350,Speed,73.92857142857143,71.73109243697479,10.32489642792799,17
350,Thrashing,5.071428571428571,32.24369747899159,10.381762355290311,17
450,Volume,109.21428571428572,120.43349753694581,13.784665456484287,29
450,Speed,35.17857142857143,53.24047619047619,9.460359338804093,30
450,Thrashing,22.32142857142857,33.63775510204081,7.497303557834261,28
550,Volume,102.07142857142856,109.5,14.330368521660738,11
550,Speed,32.64285714285714,55.63636363636363,15.378488501309926,11
550,Thrashing,57.21428571428571,60.662337662337656,15.541270363130412,11
650,Volume,137.78571428571428,121.34672619047619,7.515780122533172,48
650,Speed,33.785714285714285,44.638736263736256,4.8495512483836505,52
650,Thrashing,38.642857142857146,40.25824175824176,3.670808722915732,52
750,Volume,121.75,116.70982142857142,11.802611387998228,16
750,Speed,19.428571428571427,34.3984962406015,7.08470967818553,19
750,Thrashing,44.64285714285714,37.38345864661654,5.480112495846193,19
850,Volume,149.71428571428572,141.73214285714283,9.917055141518276,20
850,Speed,29.32142857142857,33.33441558441558,4.951990077139109,22
850,Thrashing,32.857142857142854,33.98701298701298,4.412206773202962,22
950,Volume,139.75,135.1547619047619,5.333090046204527,30
950,Speed,31.928571428571423,34.511904761904766,3.0418769348174495,30
950,Thrashing,34.42857142857143,45.35238095238095,5.242517464526112,30
1050,Volume,135.35714285714286,130.4147465437788,7.237817638095817,31
1050,Speed,35.25,34.27731092436974,2.9430007256815314,34
1050,Thrashing,31.214285714285715,34.142857142857146,4.281964024200067,34
