Frame,Time,0001_1,0001_10,0001_4,0001_5,0001_6,0001_7,0001_8,0001_9,0002_1,0002_2,0002_3,0002_4,0002_5,0002_7,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8
52,3.642857142857143,,,,,,,,,2327418.472540836,,,,2334840.063698057,,,,,,,,,,,,,,,,,,
53,3.714285714285714,,,,,,,,,2278325.466479451,,,,2305897.7821928128,,,,,,,,,,,,,,,,,,
54,3.7857142857142856,,,,,,,,,,,,,2412618.03899925,,,,,,,,,,,,,,,,,,
55,3.8571428571428568,,,,,,,,,2326359.877664876,,,,2447500.5358262463,,,,,,,,,,,,,,,,,,
56,3.928571428571429,,,,,,,,,2189431.0927965925,,,,2221205.879329058,,,,,,,,,,,,,,,,,,
57,4.0,,,,,,,,,2465509.127006688,,,,2435562.7425238565,,,,,,,,,,,,,,,,,,
58,4.071428571428571,,,,,,,,,2446580.0148075838,,,,2277717.4190164064,,,,,,,,,,,,,,,,,,
59,4.142857142857142,,,,,,,,,2537410.000715207,,,,2397614.166733631,,,,2427263.3247154504,,,,,,,,,,,,,,
60,4.214285714285714,,,,,,,,,2195539.286679468,,,,2276468.098118491,,,,,,,,,,,,,,,,,,
61,4.285714285714286,,,,,,,,,2382805.2483063396,,,,2309109.0881211613,,,,,,,,,,,,,,,,,,
62,4.357142857142857,,,,,,,,,2323242.6234242157,,,,2293418.1659927615,,,,,,,,,,,,,,,,,,
63,4.428571428571428,,,,2532033.7655440555,,,,,2514823.434760652,,,,2346893.6371646044,,,,,,,,,,,,,,,,,,
64,4.5,,,,2532033.7655440555,,,,,2293666.0538767953,,,,2481924.7002504184,,,,,,,,,,,,,,,,,,
65,4.571428571428571,,,,,,,,,2274834.8570437515,,,,2371057.6891158614,,,,,,,,,,,,,,,,,,
66,4.642857142857142,,,,,,,,,2351550.3349218196,,,,2454546.4009807985,,,,,,,,,,,,,,,,,,
67,4.714285714285714,,,,,,,,,2420612.960184061,,,,2281237.4538228945,,,,,,,,,,,,,,,2188406.9680412784,,,
68,4.785714285714286,,,,,,,,,2332756.2013752605,,,,2592262.9745239816,,,,,2512882.220983515,,,,,,,,,,,,,
69,4.857142857142857,,,,,,,,,2449557.9130765838,,,,2639060.2003005166,,,,,,,,,,,,,,,,,,
70,4.928571428571428,,,,,,,,,2448622.656600623,,,,2264455.1040409883,,,,,,,,,,,,,,,,,,
71,5.0,,,,,,,,,2413466.822320561,,,,2427008.238753647,,,,,,,,,,,,,,,,,,
72,5.071428571428571,,,,,,,,,2402266.7245209683,,,,2414108.510181475,,,,,,,,,,,,,,,,,,
73,5.142857142857142,,,,,,,,,2339954.697847986,,,,2556437.237429508,,,,,,,,,,,,,,,,,,
74,5.214285714285714,,,,,,,,,2425492.41143345,,,,2481082.2306615184,,,,,,,,,,,,,,,,,,
75,5.285714285714286,,,,,,,,,2313234.4744043336,,,,2243419.2015227336,,,,,,,,,,,,,,,,,,
76,5.357142857142857,,,,,,,,,2401986.9771403614,,,,2351913.26565175,,,,,,,,,,,,,,,,,,
77,5.428571428571428,,,,,,,,,2427823.9932489097,,,,2338663.3180878744,,,,,,,,,,,,,,,,,,
78,5.5,,,,,,,,,2396598.3658894277,,,,2404574.1725360323,,,,,,,,,,,,,,,,,,
79,5.571428571428571,,,,,,,,,2413555.6963100326,,,,2376193.4429204375,,,,,,,,,,,,,,,,,,
80,5.642857142857142,,,,,,,,,2381851.3271419876,,,,2209329.5503925513,,,,,,,,,,,,,,,,,,
81,5.7142857142857135,,,,,,,,,2371959.437921317,,,,2532571.2576326006,,,,,,,,,,,,,,,,,,
