Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,8.357142857142856,,,,0,,
21,0001_1,8.428571428571429,,,,0,,
21,0001_1,8.5,,,,0,,
21,0001_1,8.571428571428571,,,,0,,
21,0001_1,8.642857142857142,,,,0,,
21,0001_1,8.714285714285714,,,,0,,
21,0001_1,8.785714285714285,,,,0,,
21,0001_1,8.857142857142856,,,,0,,
21,0001_1,8.928571428571429,,,,0,,
21,0001_1,9.0,,,,0,,
21,0001_1,9.071428571428571,,,,0,,
21,0001_1,9.142857142857142,73.7411356718815,,,0,,
21,0001_1,9.214285714285714,34.20892052402,,,0,,
21,0001_1,9.285714285714285,-5.323294623841491,,,0,,
21,0001_1,9.357142857142856,-24.97211663371839,,,0,,
21,0001_1,9.428571428571429,-44.62093864359529,,,0,,
21,0001_1,9.5,,,,0,,
21,0001_1,9.571428571428571,,,,0,,
21,0001_1,9.642857142857142,,,,0,,
21,0001_1,9.714285714285714,,,,0,,
21,0001_1,9.785714285714285,,,,0,,
21,0001_1,9.857142857142856,,,,0,,
21,0001_1,9.928571428571429,,,,0,,
21,0001_1,10.0,,,,0,,
21,0001_1,10.071428571428571,,,,0,,
21,0001_1,10.142857142857142,-48.99444936103046,0.1759771785150538,0.5714285714284415,8,172.7177092570279,0.0
21,0001_1,10.214285714285714,-48.99444936103046,0.179094887373006,0.5714285714284415,9,172.7177092570279,0.0
21,0001_1,10.285714285714285,-48.99444936103046,0.18313200190515982,0.5714285714284415,9,172.7177092570279,0.0
21,0001_1,10.357142857142856,,,,0,,
21,0001_1,10.428571428571429,,,,0,,
21,0001_1,10.5,,,,0,,
21,0001_1,10.571428571428571,-31.15458142675628,0.14987376751020998,0.5714285714284415,10,172.7177092570279,0.0
21,0001_1,10.642857142857142,-31.15458142675628,0.10942139297698414,0.5714285714284415,10,172.7177092570279,0.0
21,0001_1,10.714285714285714,7.523314668108885,0.1324334254246386,0.6428571428569967,11,172.7177092570279,0.0
21,0001_1,10.785714285714285,,,,0,,
21,0001_1,10.857142857142856,-12.82327076177555,0.20401004636235207,0.5714285714284415,11,172.7177092570279,1.750000000000398
21,0001_1,10.928571428571429,,,,0,,
21,0001_1,11.0,,,,0,,
21,0001_1,11.071428571428571,-38.39316090736131,0.19755352604507237,0.5714285714284415,12,172.7177092570279,0.0
21,0001_1,11.142857142857142,-38.39316090736131,0.18846508132258316,0.5714285714284415,13,172.7177092570279,0.0
21,0001_1,11.214285714285714,-14.287611341816842,0.2016106841141528,0.5714285714284415,13,172.7177092570279,1.750000000000398
21,0001_1,11.285714285714285,,,,0,,
