Condition_mM,Track,InitialVolumeNorm_pct,FinalVolumeNorm_pct,VolumeThreshold_pct,VolumeSuppTime_s
21,0001_1,98.78824004531914,99.01348247694604,,
21,0001_2,99.95372048147544,110.25840601073514,,
21,0001_3,98.81058420967263,98.40939653697353,98.71028729149785,42.85714285714285
21,0002_1,99.046726553317,90.09938751974184,96.8098917949232,
21,0002_2,99.78166646619165,102.73674745018238,,
21,0002_3,98.88258185057866,93.54935606099907,97.54927540318377,90.57142857142856
21,0003_1,99.80774424204446,95.6508292593901,98.76851549638087,
21,0003_2,98.20349029657903,91.28467945226984,96.47378758550174,509.6428571428571
21,0003_3,99.9733164629018,99.05163979411554,99.74289729570523,259.7142857142857
21,0004_1,100.64915637851963,112.33978387902951,,
21,0004_2,100.89913768516384,92.86952358586197,98.89173416033837,373.21428571428567
21,0004_3,100.47394456639194,96.37125411845807,99.44827195440847,361.3571428571428
21,0004_4,101.81751586672367,100.67027573995618,101.5307058350318,433.4285714285714
21,0005_1,99.55745143951583,99.48549528157149,99.53946240002975,
21,0005_2,98.52040092033613,110.17203682917004,,
21,0005_3,100.10123635297168,105.0626940861997,,
21,0006_1,99.63589418392259,101.72357071043403,,
21,0006_2,100.667480275203,104.56115931935469,,
21,0006_3,101.86402323547794,80.3739454083382,96.49150377869302,204.85714285714283
150,0001_1,99.70381830250551,80.90260563647155,95.00351513599702,356.5
150,0001_2,99.16935185979546,77.06293955124352,93.64274878265746,166.5
150,0001_3,99.18366061526413,98.369570528632,98.9801380936061,
150,0001_4,100.85554583870095,102.2900604666977,,
150,0002_1,98.49895318915424,90.68178007624853,96.5446599109278,536.5714285714286
150,0002_2,96.39504537576028,93.62856843049403,95.7034261394437,
150,0002_3,100.01980747611874,94.50342778624284,98.64071255364976,548.5714285714286
150,0004_1,102.80494882210846,101.52743723403184,102.4855709250893,230.6428571428572
150,0004_2,98.50295780020427,96.83443432601476,98.0858269316569,484.57142857142856
150,0004_3,99.7348747441071,98.09892742151601,99.32588791345933,
150,0005_1,100.70054220872227,94.36004337775569,99.11541750098063,
150,0005_2,99.19294818577065,94.42722240188085,98.0015167397982,
150,0005_3,99.82374750613367,90.16478186741973,97.40900609645519,339.2857142857143
150,0005_4,99.56365768061107,96.75414767596412,98.86128017944934,156.57142857142856
150,0006_1,99.24723294055768,101.48732668271236,,
150,0006_2,99.18415950802071,100.74628418824331,,
150,0006_3,98.95167626596607,97.5942471236447,98.61231898038574,
