Condition_mM,Motility,Thrashing,Volume
21,0.0,0.2857142857142857,0.7142857142857143
150,0.0,0.0,1.0
250,0.0,0.2222222222222222,0.7777777777777778
350,0.0,0.3333333333333333,0.6666666666666666
450,0.0,0.06666666666666667,0.9333333333333333
550,0.058823529411764705,0.17647058823529413,0.7647058823529411
650,0.038461538461538464,0.17307692307692307,0.7884615384615384
750,0.05263157894736842,0.3684210526315789,0.5789473684210527
850,0.2857142857142857,0.38095238095238093,0.3333333333333333
950,0.06666666666666667,0.5,0.43333333333333335
1050,0.1875,0.59375,0.21875
