Condition_mM,Delta,Median_s
21,MotilityMinusVolume_s,-284.14285714285717
21,ThrashingMinusVolume_s,-322.8571428571429
21,ThrashingMinusMotility_s,-38.714285714285715
150,MotilityMinusVolume_s,-49.46428571428572
150,ThrashingMinusVolume_s,-284.1785714285714
150,ThrashingMinusMotility_s,-234.71428571428567
250,MotilityMinusVolume_s,138.28571428571422
250,ThrashingMinusVolume_s,-199.35714285714283
250,ThrashingMinusMotility_s,-337.64285714285705
350,MotilityMinusVolume_s,48.92857142857139
350,ThrashingMinusVolume_s,-90.39285714285718
350,ThrashingMinusMotility_s,-139.32142857142856
450,MotilityMinusVolume_s,58.89285714285711
450,ThrashingMinusVolume_s,-17.607142857142875
450,ThrashingMinusMotility_s,-76.49999999999999
550,ThrashingMinusMotility_s,-58.285714285714306
550,ThrashingMinusVolume_s,-64.57142857142858
550,MotilityMinusVolume_s,-6.285714285714278
650,MotilityMinusVolume_s,-48.964285714285694
650,ThrashingMinusVolume_s,-47.071428571428555
650,ThrashingMinusMotility_s,1.8928571428571388
750,MotilityMinusVolume_s,-32.28571428571429
750,ThrashingMinusVolume_s,-38.000000000000014
750,ThrashingMinusMotility_s,-5.714285714285722
850,MotilityMinusVolume_s,-57.25
850,ThrashingMinusVolume_s,-63.750000000000014
850,ThrashingMinusMotility_s,-6.500000000000014
950,MotilityMinusVolume_s,-52.03571428571425
950,ThrashingMinusVolume_s,-57.03571428571425
950,ThrashingMinusMotility_s,-5.0
1050,MotilityMinusVolume_s,-63.964285714285694
1050,ThrashingMinusVolume_s,-66.99999999999999
1050,ThrashingMinusMotility_s,-3.035714285714292
