Condition_mM,Median_s_V,Mean_s_V,SE_s_V,N_suppressed_V,N_total_V,SuppressedFraction_V,Median_s_M,Mean_s_M,SE_s_M,N_suppressed_M,N_total_M,SuppressedFraction_M,Median_s_T,Mean_s_T,SE_s_T,N_suppressed_T,N_total_T,SuppressedFraction_T,MotilityMinusVolume_s,ThrashingMinusVolume_s,ThrashingMinusMotility_s,VolumeLossTime_s,MotilityLossTime_s,ThrashingLossTime_s
21,310.25,350.5952380952381,50.50039963021867,6,21,0.2857142857142857,166.57142857142858,179.01190476190473,57.365644322417204,6,21,0.2857142857142857,22.285714285714285,71.10544217687072,23.29639253671424,21,21,1.0,-143.67857142857142,-287.9642857142857,-144.2857142857143,310.25,166.57142857142858,22.285714285714285
150,420.5357142857143,377.4285714285714,60.88029824406015,8,17,0.47058823529411764,378.0,377.19047619047615,55.01472179801032,3,17,0.17647058823529413,63.71428571428571,107.33613445378151,27.23515292959652,17,17,1.0,-42.53571428571428,-356.82142857142856,-314.2857142857143,420.5357142857143,378.0,63.71428571428571
250,339.46428571428567,309.88492063492066,39.407958157747295,18,19,0.9473684210526315,321.35714285714283,359.2380952380952,33.36946518851681,12,19,0.631578947368421,37.92857142857142,53.909774436090224,15.137138981711663,19,19,1.0,-18.107142857142833,-301.5357142857142,-283.4285714285714,339.46428571428567,321.35714285714283,37.92857142857142
350,288.42857142857144,287.12755102040813,21.942214189639934,14,18,0.7777777777777778,178.32142857142856,213.23015873015873,28.82663597835487,18,18,1.0,108.89285714285714,104.75,21.173215714485686,18,18,1.0,-110.10714285714289,-179.5357142857143,-69.42857142857142,288.42857142857144,178.32142857142856,108.89285714285714
450,211.42857142857144,226.48809523809524,19.410841749545863,30,30,1.0,153.28571428571428,180.8142857142857,15.332428121450967,30,30,1.0,81.60714285714286,81.56666666666666,10.93284253516986,30,30,1.0,-58.14285714285717,-129.82142857142858,-71.67857142857142,211.42857142857144,153.28571428571428,81.60714285714286
550,205.85714285714283,208.90259740259742,13.13560737627049,11,12,0.9166666666666666,145.57142857142856,127.66233766233763,19.42369374148479,11,12,0.9166666666666666,60.46428571428571,86.33928571428571,22.33735643840053,12,12,1.0,-60.28571428571428,-145.3928571428571,-85.10714285714285,205.85714285714283,145.57142857142856,60.46428571428571
650,201.78571428571428,206.781512605042,11.282488708952728,51,51,1.0,96.21428571428571,106.90934065934064,5.330016473942038,52,53,0.9811320754716981,69.17857142857142,73.26098901098901,4.6869050230811675,52,53,0.9811320754716981,-105.57142857142857,-132.60714285714286,-27.035714285714292,201.78571428571428,96.21428571428571,69.17857142857142
750,167.35714285714286,169.8529411764706,15.683789725417745,17,17,1.0,82.5,87.25187969924812,7.350311061054965,19,19,1.0,62.07142857142857,67.58646616541353,8.95719984910193,19,19,1.0,-84.85714285714286,-105.28571428571429,-20.42857142857143,167.35714285714286,82.5,62.07142857142857
850,184.32142857142856,188.76071428571427,11.362489018096287,20,21,0.9523809523809523,73.07142857142857,73.43877551020407,6.208516920696478,21,22,0.9545454545454546,53.107142857142854,51.13636363636363,4.980292704548747,22,22,1.0,-111.24999999999999,-131.2142857142857,-19.964285714285715,184.32142857142856,73.07142857142857,53.107142857142854
950,171.5,168.47142857142856,5.994735942430646,30,30,1.0,78.85714285714286,78.63571428571429,4.5083332411937285,30,30,1.0,56.67857142857143,61.92142857142857,5.181831372993283,30,30,1.0,-92.64285714285714,-114.82142857142857,-22.17857142857143,171.5,78.85714285714286,56.67857142857143
1050,168.14285714285714,181.57603686635946,10.876801738449425,31,31,1.0,65.0,70.390625,4.569898199762709,32,34,0.9411764705882353,53.535714285714285,56.013392857142854,5.0262492321417955,32,34,0.9411764705882353,-103.14285714285714,-114.60714285714286,-11.464285714285715,168.14285714285714,65.0,53.535714285714285
