Time,MeanSpeed,SESpeed,MeanNormSpeed,SENormSpeed,NTracks
0.0,,,,,17
0.0714285714285714,,,,,17
0.1428571428571428,,,,,17
0.2142857142857142,,,,,17
0.2857142857142857,,,,,17
0.3571428571428571,,,,,17
0.4285714285714285,,,,,17
0.5,,,,,17
0.5714285714285714,,,,,17
0.6428571428571428,,,,,17
0.7142857142857142,,,,,17
0.7857142857142857,,,,,17
0.8571428571428571,,,,,17
0.9285714285714284,,,,,17
1.0,182.29810461968788,19.991617844393655,96.45088734556298,9.479054730524313,17
1.0714285714285714,172.07375486138395,18.43969109467905,91.01954724191854,7.9567234547596,17
1.1428571428571428,185.705905239768,17.218003879220095,105.41546597316768,11.443290582136706,17
1.2142857142857142,183.6972332227384,18.062753181500046,95.37287139732932,6.826006656077646,17
1.2857142857142856,175.74766227414153,22.566977800241567,83.08747226850114,5.1659469068660515,17
1.357142857142857,192.49873273593985,17.163169918528112,103.66366172963308,9.513521095902346,17
1.4285714285714284,193.30227848893836,21.391375444272477,105.15670017160522,15.726937993507661,17
1.5,194.59492948862763,20.56086504201653,102.43218731053831,7.160244103028911,17
1.5714285714285714,176.80456846998868,21.141153913847923,90.27417867390658,5.93464801490092,17
1.6428571428571428,195.75257208777725,18.964039143764,102.36351418052486,5.5757424903815105,17
1.7142857142857142,197.31665153928535,19.788617930203696,100.90804509850973,5.1008734422445725,17
1.7857142857142856,175.97546305880385,24.12330052742941,88.56246205043772,6.396158629637699,17
1.857142857142857,193.87984316177514,29.00199590369399,87.24716504308928,9.878595797153622,17
1.9285714285714284,187.786469561125,22.458554811476336,89.9324018664174,5.777107940272022,17
2.0,203.98301043116646,22.531430442983034,102.06242374496004,6.516637488541378,17
2.071428571428571,188.5512722873022,21.742633006564304,92.35672119616444,5.096583662622011,17
2.142857142857143,198.81277723585865,25.287592959063833,95.32309044844783,6.141954075411888,17
2.214285714285714,203.12435333879733,20.085156588856705,102.93459416898155,4.85952587830918,17
2.2857142857142856,216.50350533089645,27.516452594832156,105.99370823933003,8.502472397357204,17
2.357142857142857,225.66840712741606,32.26724775507431,107.50812758809235,10.880325681634625,17
2.4285714285714284,260.1067809133096,31.559330761356815,126.70076307371559,13.20368894121733,17
2.5,238.1784063642011,29.535032419646548,112.70946321782905,9.110321775018589,17
2.571428571428571,228.09605510371978,33.84241616443182,105.84029816827493,10.615120019455915,17
2.642857142857143,204.64510809972316,31.011567981614295,99.48178432039578,9.63515879879702,17
2.714285714285714,229.77910098764218,27.4154953502261,119.22779969587887,10.396490514128647,17
2.7857142857142856,245.95898334746806,32.88554120362453,120.50678449885041,10.170778892189826,17
2.8571428571428568,251.30439484053423,33.22072877972276,122.98882588909791,11.279737906255816,17
2.9285714285714284,255.06772996215025,33.026365279445265,133.32409739047168,11.603240956430987,17
3.0,265.633410312579,30.099578915799913,122.16438670900985,9.404174912779602,17
3.071428571428571,257.41020923337476,36.94289211193854,117.56601615980297,11.869982567189405,17
3.142857142857143,235.5243591757954,32.49943359217736,106.41218850487395,10.243453947441239,17
3.214285714285714,229.14860007475033,32.16773016676229,109.43121681800812,9.189058522042881,17
3.2857142857142856,224.5039741955615,28.2254094091487,110.94537048522544,7.069467517732039,17
3.3571428571428568,229.24594379851362,26.53538685276563,118.23414926080996,7.700046306117188,17
3.4285714285714284,207.0869859050251,25.614019634141627,106.32164572564783,9.02358286618918,17
3.5,216.40568145628944,22.50825686381785,114.02705052732125,9.85686478359972,17
3.571428571428571,205.2097052544342,21.25272667334731,105.67631196846996,8.746696055839735,17
3.642857142857143,202.5298673502089,23.816528958050608,93.77746225816877,6.7025788324516435,17
3.714285714285714,203.15137236217825,22.105582426122545,97.28373524702405,10.487865091001652,17
3.7857142857142856,200.98947767942056,23.64468998391677,92.12963686816302,6.843616485048767,17
3.8571428571428568,198.74484555426733,23.549069766908765,92.41304300106313,6.36921882563857,17
3.928571428571429,232.72249570864534,14.268965624111926,98.59617344370359,4.341550124440831,17
4.0,204.55729058583114,19.107010024651625,95.42382001548155,8.182875193853551,17
4.071428571428571,200.5100059314422,19.33456439953323,97.76677850570462,7.0181161699861505,17
4.142857142857142,190.89884453034716,23.240441287874845,87.23466312621993,8.320300280182144,17
4.214285714285714,194.12864756703476,24.994045935192,86.3250933763487,8.547646492451735,17
4.285714285714286,197.38395767153986,27.045807141319223,91.02261593417953,8.809740493422405,17
4.357142857142857,195.99747622575765,24.57210891933135,90.04877985261398,7.160716867080739,17
4.428571428571428,206.55457980667558,22.235595360894575,96.6616030971372,8.426719348710446,17
4.5,201.26116599137552,18.73046885982226,96.75443260073841,4.847564215046584,17
4.571428571428571,193.57803753114217,20.570026503404133,87.6932375456561,5.97080347719737,17
4.642857142857142,172.80703412986915,23.420521770696116,77.88073650404947,8.65713936680139,17
4.714285714285714,199.6982214022268,24.202138245936872,91.38883787256017,5.884633965531404,17
4.785714285714286,196.58968743085464,24.756612138964368,92.89221303214374,6.26859820462715,17
4.857142857142857,186.52688970150717,21.50571373881433,100.989029768535,9.799705195459492,17
4.928571428571428,209.29124412835046,21.203965918929697,110.31161276642248,18.569487660375902,17
5.0,200.14392980764293,19.72342054696199,86.94232820910554,5.0990910466155945,17
5.071428571428571,191.4427592508039,19.050722870482193,100.45304390702138,7.698346091609365,17
5.142857142857142,198.6096054233697,18.221698414394652,104.62335710113686,7.600814182891284,17
5.214285714285714,202.20580207482342,18.75488455755243,102.15316103099394,6.635117384419004,17
5.285714285714286,195.9782459917436,23.703222796149177,94.92042850628265,8.173552560419616,17
5.357142857142857,186.11629967958638,18.288112156248115,99.61636152234584,11.381060271792899,17
5.428571428571428,185.3427357596723,19.687234542828282,91.0682243757291,5.04452919874554,17
5.5,202.28911857260982,23.72352991864289,97.17488290814903,10.051768527347106,17
5.571428571428571,198.41979700794948,19.467414910822608,96.0919075573855,4.775072086382026,17
5.642857142857142,197.68735359211087,22.392560259519474,94.4201449806238,5.512844788633892,17
5.7142857142857135,212.0104219906524,22.558474568918143,92.89125533384131,6.659568147420733,17
5.785714285714286,200.74166133282657,20.539639344207192,94.67626326402277,6.456466396117338,17
5.857142857142857,204.52266680260547,16.06265404201192,102.99487665024489,4.187073932698028,17
5.928571428571428,199.35835527351662,21.502293854928688,106.11948078406621,12.824914308218771,17
6.0,206.7766527701583,18.967003496657416,102.94309570102102,5.988843355997129,17
6.071428571428571,209.68978300768185,19.406311277231698,108.77220747040934,8.863880838336685,17
