Condition_mM,Track,Time_to_max_speed_loss_s,Min_normalized_speed_pct,Max_speed_loss_pct
21,0001_1,194.2142857142857,2.0277445608306666,97.97225543916933
21,0001_2,21.857142857142858,2.4189357910037312,97.58106420899627
21,0001_3,593.2142857142857,1.1244608261154274,98.87553917388458
21,0001_4,386.21428571428567,0.6811945304715109,99.31880546952848
21,0002_1,48.07142857142857,3.2815341980570123,96.71846580194298
21,0002_2,124.92857142857142,1.4354038019009432,98.56459619809905
21,0002_3,367.5,3.794768006513672,96.20523199348632
21,0003_1,75.57142857142857,3.3454856374242974,96.6545143625757
21,0003_2,350.85714285714283,1.1390272477506629,98.86097275224934
21,0003_3,321.4285714285714,3.2547249156679987,96.74527508433201
21,0004_1,349.2857142857143,3.1075731546283754,96.89242684537163
21,0004_2,247.7142857142857,0.287876395394684,99.71212360460531
21,0005_1,11.0,1.6025776263113547,98.39742237368864
21,0005_2,498.1428571428571,2.897721131236224,97.10227886876378
21,0005_3,55.85714285714285,0.8994606490639871,99.10053935093602
21,0006_1,63.21428571428571,0.6347446442294353,99.36525535577057
21,0006_2,589.0714285714286,0.03754981354888394,99.96245018645112
21,0006_3,186.14285714285717,0.5236444077894465,99.47635559221055
21,0007_1,489.2857142857143,0.7422291137031283,99.25777088629687
21,0007_2,368.57142857142856,0.4425663543771021,99.5574336456229
21,0007_3,486.5,0.22722886359840952,99.77277113640159
150,0001_1,597.9285714285714,0.9411469933408387,99.05885300665916
150,0001_2,491.07142857142856,0.8190392969031351,99.18096070309686
150,0001_3,382.21428571428567,1.9673534740988214,98.03264652590119
150,0001_4,551.7857142857142,3.290040955495506,96.7099590445045
150,0002_1,153.2142857142857,3.4278716668510407,96.57212833314895
150,0002_2,86.85714285714285,6.139160695372854,93.86083930462715
150,0002_3,63.42857142857142,4.9492849649381885,95.05071503506181
150,0004_1,114.14285714285714,1.9798579052311127,98.02014209476889
150,0004_2,334.2857142857143,0.09764420288287112,99.90235579711712
150,0004_3,380.07142857142856,1.02238994719183,98.97761005280817
150,0005_1,521.7857142857142,5.593121353647234,94.40687864635277
150,0005_2,438.0,2.614361600658817,97.38563839934119
150,0005_3,4.642857142857142,4.604438466065816,95.39556153393418
150,0005_4,250.2142857142857,7.513499787614713,92.48650021238528
150,0006_1,592.0714285714286,1.4295997488602363,98.57040025113976
150,0006_2,345.9285714285714,2.1066519000722894,97.8933480999277
150,0006_3,35.92857142857142,3.6033514882390496,96.39664851176094
250,0001_1,531.5714285714286,0.4166916844500124,99.58330831554998
250,0001_2,456.6428571428571,0.451086598713086,99.54891340128691
250,0001_3,320.57142857142856,0.722476396814334,99.27752360318567
250,0002_1,457.1428571428571,0.13383641463963458,99.86616358536037
250,0002_2,310.9285714285714,0.42705288621290427,99.5729471137871
250,0002_3,335.1428571428571,0.08856670223672543,99.91143329776328
250,0002_4,499.3571428571428,1.556004468288153,98.44399553171185
250,0003_1,465.07142857142856,0.9149703020784489,99.08502969792156
250,0003_2,443.2857142857143,0.11776849136028503,99.88223150863972
250,0003_3,411.6428571428571,1.259908758111313,98.74009124188869
250,0003_4,384.0,1.5172780366972887,98.48272196330271
250,0004_1,589.0714285714286,1.1438860628972243,98.85611393710278
250,0004_2,569.5714285714286,2.438924175718481,97.56107582428152
250,0004_3,568.9285714285714,0.14480933182088299,99.85519066817912
250,0004_4,207.0,0.8045392141716743,99.19546078582833
250,0005_1,43.42857142857142,2.8161890527817457,97.18381094721825
250,0005_2,579.3571428571428,0.37931445948823855,99.62068554051176
250,0005_3,598.7857142857142,0.41762707661470816,99.5823729233853
250,0005_4,326.85714285714283,1.428764196916592,98.57123580308341
350,0001_1,174.35714285714286,0.09138239535222917,99.90861760464777
350,0001_2,524.5714285714286,0.09465238781633784,99.90534761218366
350,0001_3,583.3571428571428,0.29034194538721675,99.70965805461279
350,0001_4,425.8571428571428,0.013438664101742402,99.98656133589826
350,0001_5,39.42857142857142,0.000918662879252293,99.99908133712074
350,0002_1,453.21428571428567,0.012597376944945428,99.98740262305506
350,0002_2,331.7857142857143,0.020423488786972057,99.97957651121303
350,0002_3,458.9285714285714,0.038397470920679515,99.96160252907931
350,0003_1,405.6428571428571,0.059239384633424604,99.94076061536657
350,0003_2,566.5714285714286,0.018617249940357388,99.98138275005964
350,0003_3,35.92857142857142,0.12658553670993258,99.87341446329006
350,0003_4,401.9285714285714,0.8398447005181127,99.16015529948189
350,0003_5,551.0714285714286,0.02069454612013333,99.97930545387986
350,0004_1,467.8571428571428,0.056967321020139766,99.94303267897986
350,0004_2,465.4285714285714,0.22361251171009502,99.7763874882899
350,0004_3,447.4285714285714,0.006593792462145765,99.99340620753786
350,0004_4,365.71428571428567,0.22252367954159877,99.7774763204584
350,0004_5,299.2857142857143,0.24194748837190774,99.7580525116281
450,0001_1,501.71428571428567,0.01618957014601193,99.98381042985399
450,0001_2,552.8571428571428,0.03528239571529821,99.9647176042847
450,0001_3,540.1428571428571,0.5115383572792225,99.48846164272078
450,0001_4,555.4285714285714,0.009424161223614119,99.99057583877638
450,0001_5,557.3571428571428,0.07402958108176355,99.92597041891824
450,0001_6,381.4285714285714,0.03704784149319559,99.96295215850681
450,0001_7,121.14285714285714,0.46683532351657064,99.53316467648342
450,0001_8,591.2142857142857,0.015854050489076125,99.98414594951092
450,0001_9,394.2857142857143,0.012385680521605576,99.9876143194784
450,0001_10,427.71428571428567,0.20381346610471246,99.79618653389528
450,0002_1,364.6428571428571,0.008754000522351561,99.99124599947766
450,0002_2,442.1428571428571,0.03392652920848415,99.96607347079151
450,0002_3,303.2857142857143,0.025152332656568084,99.97484766734343
450,0002_4,348.35714285714283,0.005282075763321351,99.99471792423668
