Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3
45,3.142857142857143,,3209977.9189018575,2632600.4675442954,2263677.688578772,2356823.8236389933,,2324233.958336054,,2368561.749467978,2824559.2128480473,3355336.247158649,3180217.858597476,,3256464.009235002,2864725.6804900155,,2534645.0162156424,2402876.6501442227,2958713.542835821
46,3.214285714285714,,3135606.6987573663,2658841.4625436245,2094018.5414071518,2247326.069059484,,2385305.7222557673,2771226.7899443433,2306916.1612783703,2931412.500411047,3373258.4679237376,2858440.2171443417,,2941778.9277212713,2620628.230607356,,2546694.8181152255,2504292.4675808605,2941267.8862392036
47,3.2857142857142856,,2948684.4514505914,2821203.4917724812,2245999.0980670974,2450654.302722724,,2480084.488722769,2594966.4299044516,2300591.357987684,2783814.927197204,3257023.5838130102,2975687.222853472,,3307279.4326460236,2858565.5303633115,,2594874.9680179777,2508215.411539925,2785450.91871453
48,3.3571428571428568,,2808795.8445616635,2481214.8867139383,2191065.4324587826,2453079.4130710973,,2534507.5711926115,,2350693.5168252955,2921328.864287956,3241741.8039776445,2815739.815637693,3422591.7550052046,3149384.5509572485,2797437.323745569,,2598892.514544206,2567367.014798656,
49,3.4285714285714284,2648920.2267891495,,2413706.968331088,2582468.3412507693,2262469.0581478705,2491821.594804308,2404591.435776389,2505714.484131735,2396194.4365463573,2830821.7849295214,3160996.5166050703,3258335.2855191077,3405639.010848001,2915577.931249697,2608181.7382424795,,2470574.988723057,2529876.230323279,2570651.2349745617
50,3.5,,,,2103049.999566796,2618663.2646921864,2346622.018592514,2415289.7458469737,2840122.731183937,2531088.0759090376,2993488.8586315666,3215883.570747192,,,3248844.2773700817,2770884.77627381,,2515404.874677487,2515486.221627545,
51,3.571428571428571,,,2511872.5849708226,2311204.2575648488,2365541.5210214467,2221827.439106564,2335868.779312747,,2611912.7768018623,2826841.637736409,3044749.8381548477,3192858.119311734,3025430.88268259,3223083.8724359106,2855753.1370032965,,2474598.028863106,2531724.158345305,2469582.1695911586
52,3.642857142857143,2522676.9214604977,2921980.50272239,,2265994.0027565025,2506075.664118026,1774030.6545753567,2374383.588179791,2778034.651186067,2203420.348548238,2883281.245735411,3077096.7296271995,2998189.8219232494,,3224675.3268993828,2996105.7857013047,3137717.532562647,2663174.719975437,2481012.5084162652,2767112.7222931623
53,3.714285714285714,2378983.0458427644,3177493.9662164864,,2028037.7330572985,2254637.5860573915,1975166.7357466638,2705654.0164504997,2460334.927666822,2356959.276027501,2958205.7036270406,3306607.6424453957,2942555.089681891,,3088572.324823009,2922127.7772553065,3389264.8724339665,2740332.1055355477,2372265.391844046,2659900.9659041157
54,3.7857142857142856,2140857.7791529084,2831524.2273961036,2408374.032321753,2255721.5264007137,2383123.147658538,,2391514.9651142196,2676894.4441124694,2491562.2840095647,2893958.614037131,3302913.5092654605,3089622.7698507835,3355721.4520673035,2964461.810891285,2936643.4707099125,,2690705.111988151,2232546.2548676985,2368802.368272397
