Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
11,0.7142857142857142,,2928688.6489873356,,,2147793.9646478808,2272290.929533408,2173956.656065393,2530024.1553300307,2438752.5257908977,2152938.1757849148,2399786.541037658,2675722.7148514763,3139600.6657855534,2968105.4889606624,2787850.149393921,2469180.968713,2276596.345837921,2255974.599652632,3368317.764400156,2843876.2321382626,3351491.634782263
12,0.7857142857142857,,3025609.8779341844,2191467.754388818,,2220785.46773886,2233181.3598667895,2518429.207633179,2255778.4124517175,2673546.0760907475,2422148.5961570567,2282291.38773085,2819691.543866969,3454544.1470000073,2880548.0003488855,2706544.820291931,2546152.956527209,,2415540.7286553453,3779359.546483126,,3550625.0642540473
13,0.8571428571428571,,3190193.5296829,,,2304472.3684039745,2466772.7215787247,2357996.599681087,2475262.269925431,,2280541.4545265213,2406388.43912099,2626829.099559606,3235483.1029000585,2747468.354913617,2693089.7963600433,2575854.38031784,2288955.4439348825,2691843.507788777,3389561.1640377496,3028676.748712692,3667404.879988762
14,0.9285714285714284,,2848062.1726043937,,,2243757.3940506554,2373125.7254857393,1901073.2866250358,2264271.725012349,2541932.3066544817,2281130.888685236,2460621.828643199,2488105.014054038,3101554.0270871795,2697084.937930966,2955871.8259270294,2585514.320461061,2291019.130307701,2654302.9769033687,3451643.5959799676,3169756.4012902807,3722167.7915934906
15,1.0,,2988442.6248697457,2301322.2336971336,,2315750.2810714245,2394786.999247299,2030293.3944123308,2606970.4600872584,2547350.6875096075,2316807.5415970413,2506224.4439343098,2469591.0635030884,3247635.5432400727,2637876.0275462284,,2678735.506839291,2369225.540405774,2698168.6223021075,3359992.6915379064,2955540.143038221,3545881.844969938
16,1.0714285714285714,,3023428.4751962484,,,2181714.7227542684,2337128.9439323856,,2449972.2091006124,,2351035.795127284,2349462.1044132505,2936399.024516846,3131494.9822957646,,,2582432.235292105,2323410.94262227,2554148.153408808,3153718.01423733,2840686.6074898327,3239488.1940299766
17,1.1428571428571428,,2907588.06584083,,,2066161.455438594,2001368.1487062878,2537023.0607766774,2485074.370713893,2641814.8448458435,2330020.823229307,2272999.5597545374,2835999.9176394837,3051197.012389903,3139629.232075239,,2617344.298466568,2598586.9804807063,2425139.9861738877,3216872.4810460927,2867923.4641830525,3649187.760212281
18,1.2142857142857142,,3017420.325074703,2501060.2613344966,,2260962.0332744205,2573427.3428437165,2372522.1862509297,2545249.69008915,2506081.778692879,2329591.406073977,2437099.124110861,2760715.27603996,2949573.6788292965,2851833.1793979085,,2704820.4150844673,2390721.5711343875,2391134.442745728,3365911.558677028,2888220.6890044194,3584438.7690839116
19,1.2857142857142856,,2470644.9880882525,2403879.757093605,,2334178.026795113,2358797.3968435964,2294175.7809685515,2345018.7209312394,2798328.445405539,2300228.7478108546,2315588.8813021597,2572855.6328244787,3042091.8421210684,2843950.9821016593,,2666716.7201303383,2410095.8024208266,2317347.179886584,3474933.9854057217,2801390.6932635293,3349807.479916173
20,1.357142857142857,,3081407.4217831832,,,2337753.5442346963,2207089.9221312655,2048969.1859867028,2366922.818098584,2664128.0633523944,2245690.0559938806,2455262.710892797,2731391.5511851152,3392721.793584154,2839040.6470109816,2669613.430591296,2533287.3267496456,2382198.2775099324,2468314.2449800246,3526756.8981352337,2940766.056835341,3296180.4590176633
21,1.4285714285714284,,3115918.231870838,2377338.0958777773,,2181833.787055274,2445264.9956392488,1735590.4551818694,2721357.3991875183,2457553.145120939,2206039.8887655027,2414515.712353587,2649269.610573696,3343690.174277603,2889163.806562757,3081424.6777801416,2549662.160824239,2533607.6710726116,2752180.84088116,3308445.347657929,3007677.867880323,3429873.2521714787
22,1.5,,,,,2153729.610851183,2180452.513793002,,2355456.442173842,2300339.5757505936,,2270849.75244604,2565639.250007356,3284335.886792598,2829381.9302080907,,2559915.3007634403,2620435.459544969,3001291.504454083,3664966.0418232414,3251690.810185238,3663502.865355809
