Condition_mM,Track,Modality,DynamicRangePct,OnsetTime_s
1050,0001_1,Volume,12.891497488429692,103.57142857142856
1050,0001_10,Volume,13.436729114099705,75.78571428571428
1050,0001_4,Volume,26.421005141891698,119.35714285714285
1050,0001_5,Volume,29.39092734193865,134.57142857142856
1050,0001_6,Volume,24.73746615995792,122.14285714285714
1050,0001_7,Volume,14.344479299481492,122.92857142857142
1050,0001_8,Volume,34.637058345568136,154.2142857142857
1050,0001_9,Volume,23.486866872746845,115.85714285714285
1050,0002_1,Volume,45.59027465587768,119.85714285714285
1050,0002_2,Volume,20.36141198766515,130.0
1050,0002_3,Volume,9.817628479469988,128.5
1050,0002_4,Volume,19.670757209236044,140.5
1050,0002_5,Volume,40.006767965805366,172.92857142857142
1050,0002_7,Volume,9.661547361245084,163.0
1050,0003_1,Volume,8.66442415057898,223.35714285714283
1050,0003_2,Volume,14.102426692212916,152.92857142857142
1050,0003_3,Volume,39.02466704003035,83.5
1050,0003_4,Volume,38.10164860372926,53.285714285714285
1050,0003_5,Volume,15.613336695205021,134.07142857142856
1050,0003_6,Volume,10.125266596246604,155.28571428571428
1050,0003_7,Volume,11.615867431829315,154.07142857142856
1050,0003_8,Volume,27.763566495496875,180.3571428571429
1050,0003_9,Volume,26.736192040060672,179.64285714285714
1050,0004_1,Volume,18.25997751563807,140.57142857142856
1050,0004_2,Volume,15.599929762036908,144.92857142857142
1050,0004_3,Volume,9.008774856613982,137.7142857142857
1050,0004_4,Volume,17.503413033003753,144.07142857142856
1050,0004_5,Volume,19.979340719080312,23.285714285714285
1050,0004_6,Volume,5.709372785655432,57.35714285714285
1050,0004_7,Volume,12.262688179511727,139.85714285714286
1050,0004_8,Volume,26.570872977947744,135.35714285714286
150,0001_1,Volume,18.99833643150427,264.35714285714283
150,0001_2,Volume,25.582899548793137,166.57142857142856
150,0002_1,Volume,10.32149221097717,78.35714285714285
150,0002_2,Volume,6.29039102740434,226.7142857142857
150,0004_2,Volume,6.199220090148401,51.57142857142857
150,0005_1,Volume,5.9715516925377585,243.0
150,0005_2,Volume,6.3698488408377045,147.28571428571428
