Condition_mM,Track,VolumeLossTime_s,MotilityLossTime_s,ThrashingLossTime_s,MotilityMinusVolume_s,ThrashingMinusVolume_s,ThrashingMinusMotility_s
21,0001_1,,,0.0,,,
21,0001_2,0.6428571428571428,,0.5714285714285714,,-0.0714285714285714,
21,0001_3,,,7.5,,,
21,0001_4,,,10.5,,,
21,0002_1,0.7142857142857142,,419.8571428571428,,419.14285714285705,
21,0002_2,,,7.0,,,
21,0002_3,0.0714285714285714,,204.35714285714283,,204.28571428571425,
21,0003_1,0.0,,54.57142857142857,,54.57142857142857,
21,0003_2,0.0714285714285714,,102.64285714285714,,102.57142857142857,
21,0003_3,,,9.714285714285714,,,
21,0004_1,,77.21428571428571,22.285714285714285,,,-54.92857142857142
21,0004_2,0.9285714285714284,,77.71428571428571,,76.78571428571428,
21,0005_1,0.0,255.92857142857144,8.214285714285714,255.92857142857144,8.214285714285714,-247.71428571428572
21,0005_2,,,0.0,,,
21,0005_3,,,12.785714285714285,,,
21,0006_1,0.2142857142857142,50.42857142857142,51.42857142857142,50.21428571428571,51.21428571428571,1.0
21,0006_2,,39.64285714285714,33.42857142857142,,,-6.214285714285715
21,0006_3,0.6428571428571428,282.9285714285714,18.928571428571427,282.2857142857142,18.285714285714285,-263.99999999999994
21,0007_1,0.2857142857142857,,274.6428571428571,,274.35714285714283,
21,0007_2,,367.9285714285714,77.14285714285714,,,-290.7857142857142
21,0007_3,0.4285714285714285,,99.92857142857142,,99.49999999999999,
150,0001_1,0.2857142857142857,378.0,254.42857142857144,377.7142857142857,254.14285714285717,-123.57142857142856
150,0001_2,5.928571428571428,472.07142857142856,181.92857142857144,466.1428571428571,176.00000000000003,-290.1428571428571
150,0001_3,0.0,,55.285714285714285,,55.285714285714285,
150,0001_4,,,0.0,,,
150,0002_1,0.0,,239.1428571428572,,239.1428571428572,
150,0002_2,0.0,,399.1428571428571,,399.1428571428571,
150,0002_3,0.0,,11.285714285714285,,11.285714285714285,
150,0004_1,0.0,,68.92857142857143,,68.92857142857143,
150,0004_2,0.6428571428571428,281.5,51.21428571428571,280.85714285714283,50.57142857142856,-230.28571428571428
150,0004_3,51.285714285714285,,223.57142857142856,,172.28571428571428,
150,0005_1,0.0,,46.14285714285714,,46.14285714285714,
150,0005_2,0.7857142857142857,,25.642857142857142,,24.857142857142858,
150,0005_3,0.0714285714285714,,9.571428571428571,,9.5,
150,0005_4,0.0,,97.57142857142856,,97.57142857142856,
150,0006_1,,,20.642857142857142,,,
150,0006_2,0.2857142857142857,,76.5,,76.21428571428571,
150,0006_3,0.4285714285714285,,63.71428571428571,,63.28571428571428,
250,0001_1,3.142857142857143,272.85714285714283,9.928571428571429,269.71428571428567,6.7857142857142865,-262.9285714285714
250,0001_2,0.0714285714285714,421.8571428571428,47.85714285714285,421.7857142857142,47.78571428571428,-373.99999999999994
250,0001_3,1.0,286.4285714285714,258.2142857142857,285.4285714285714,257.2142857142857,-28.214285714285666
250,0002_1,0.1428571428571428,292.7857142857143,63.42857142857142,292.6428571428571,63.28571428571428,-229.35714285714286
250,0002_2,0.1428571428571428,294.07142857142856,14.642857142857142,293.9285714285714,14.5,-279.4285714285714
250,0002_3,2.642857142857143,149.42857142857142,71.35714285714285,146.78571428571428,68.71428571428571,-78.07142857142857
250,0002_4,18.142857142857142,,85.28571428571428,,67.14285714285714,
250,0003_1,25.85714285714285,,11.0,,-14.85714285714285,
