Condition_mM,Track,InitialThrashRate_Hz,ThrashingThreshold_Hz,ThrashSuppTime_s
21,0001_1,0.0,0.0,0.0
21,0001_2,0.05045045045045045,0.012612612612612612,0.5714285714285714
21,0001_3,0.5204819277108436,0.1301204819277109,42.71428571428572
21,0001_4,0.10000000000000003,0.02500000000000001,10.5
21,0002_1,1.7234042553191489,0.4308510638297872,
21,0002_2,1.346296296296296,0.336574074074074,7.857142857142857
21,0002_3,1.4067226890756301,0.35168067226890753,419.6428571428571
21,0003_1,1.4333333333333331,0.3583333333333333,58.21428571428571
21,0003_2,1.6357723577235774,0.40894308943089436,511.07142857142856
21,0003_3,1.3686956521739129,0.3421739130434782,20.0
21,0004_1,1.512857142857143,0.3782142857142857,22.285714285714285
21,0004_2,1.582269503546099,0.39556737588652474,226.07142857142856
21,0005_1,1.0950819672131147,0.27377049180327867,16.71428571428571
21,0005_2,0.0,0.0,0.0
21,0005_3,0.3297297297297297,0.08243243243243242,13.5
21,0006_1,1.4404255319148935,0.3601063829787234,202.42857142857144
21,0006_2,0.4028571428571429,0.10071428571428573,33.42857142857142
21,0006_3,1.4789855072463767,0.36974637681159417,22.285714285714285
21,0007_1,1.1897058823529412,0.2974264705882353,289.7857142857143
21,0007_2,1.109433962264151,0.27735849056603773,77.14285714285714
21,0007_3,1.1544715447154472,0.2886178861788618,100.78571428571428
150,0001_1,1.8042857142857145,0.4510714285714286,534.0
150,0001_2,0.8585714285714287,0.21464285714285716,181.92857142857144
150,0001_3,1.2308823529411765,0.30772058823529413,55.285714285714285
150,0001_4,0.012765957446808512,0.003191489361702128,0.0
150,0002_1,1.2375886524822695,0.30939716312056736,239.1428571428572
150,0002_2,1.1611510791366906,0.29028776978417264,399.1428571428571
150,0002_3,1.2285714285714286,0.30714285714285716,11.285714285714285
150,0004_1,1.2226890756302515,0.3056722689075629,160.64285714285714
150,0004_2,1.3231404958677688,0.3307851239669422,52.21428571428571
150,0004_3,0.0,0.0,223.57142857142856
150,0005_1,1.1751773049645389,0.2937943262411347,47.57142857142857
150,0005_2,1.731205673758865,0.43280141843971626,31.142857142857142
150,0005_3,0.8000000000000003,0.20000000000000007,11.642857142857142
150,0005_4,0.5840909090909091,0.14602272727272728,97.57142857142856
150,0006_1,1.6136000000000004,0.4034000000000001,50.57142857142857
150,0006_2,1.5710144927536234,0.39275362318840584,76.5
150,0006_3,0.5980000000000002,0.14950000000000005,63.71428571428571
250,0001_1,1.702836879432624,0.425709219858156,280.7857142857143
250,0001_2,1.2894736842105263,0.3223684210526316,48.71428571428571
250,0001_3,0.45499999999999996,0.11374999999999999,258.2142857142857
250,0002_1,1.6808510638297876,0.4202127659574469,100.85714285714285
250,0002_2,1.1392857142857145,0.2848214285714286,14.714285714285714
250,0002_3,1.4291666666666665,0.3572916666666666,71.85714285714285
250,0002_4,0.0,0.0,85.28571428571428
250,0003_1,1.4708955223880598,0.36772388059701494,11.0
250,0003_2,1.8074074074074074,0.45185185185185184,20.71428571428571
250,0003_3,0.20594059405940596,0.05148514851485149,8.928571428571429
250,0003_4,0.9178947368421054,0.22947368421052636,181.3571428571429
250,0004_1,1.4573529411764705,0.36433823529411763,78.57142857142857
250,0004_2,0.0,0.0,0.0
250,0004_3,1.7869918699186993,0.4467479674796748,97.57142857142856
250,0004_4,0.0,0.0,0.5714285714285714
250,0005_1,1.59645390070922,0.399113475177305,10.214285714285714
250,0005_2,1.5163120567375887,0.3790780141843972,39.85714285714285
250,0005_3,1.848571428571429,0.46214285714285724,190.35714285714283
250,0005_4,0.6347222222222222,0.15868055555555555,31.142857142857142
350,0001_1,1.0758928571428572,0.2689732142857143,26.21428571428571
350,0001_2,0.0823529411764706,0.02058823529411765,3.571428571428571
350,0001_3,0.8769230769230769,0.21923076923076923,368.6428571428571
350,0001_4,0.8241758241758241,0.20604395604395603,118.64285714285714
350,0001_5,0.0,0.0,30.0
350,0002_1,1.0849624060150376,0.2712406015037594,117.64285714285714
350,0002_2,0.28085106382978725,0.07021276595744681,5.071428571428571
350,0002_3,1.5188235294117647,0.37970588235294117,31.71428571428571
350,0003_1,1.3307142857142857,0.33267857142857143,178.85714285714286
350,0003_2,1.3478571428571429,0.3369642857142857,196.6428571428572
350,0003_3,0.7933823529411765,0.19834558823529413,40.92857142857142
350,0003_4,0.8511278195488721,0.21278195488721802,166.42857142857142
350,0003_5,1.553676470588235,0.3884191176470588,144.64285714285714
350,0004_1,1.491111111111111,0.37277777777777776,105.42857142857142
350,0004_2,1.2514492753623188,0.3128623188405797,118.28571428571428
