Frame,Time,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8
1,0.0,,,,3640717.3905894645,,,,,,,3827515.4832054568,,,,,,,,,,
2,0.0714285714285714,,,,3608582.8522156593,,,,,,,3806869.0787587543,,,,2705625.5688703815,,,,,,
3,0.1428571428571428,,,,3787941.281473044,,,,,,,3433479.8824670776,,3962988.875073831,,,,,,,,
4,0.2142857142857142,,,,3685140.651226078,,,,,,,3724652.0498221824,,3753856.937596159,,,,,,,,
5,0.2857142857142857,,,,3709542.4898867086,,,,,,,3728618.389865046,,4045940.247570052,,,,,,,,
6,0.3571428571428571,,,,3803720.9260858563,,,,,,,3536183.846961728,,3804897.2047178303,,,,,,,,
7,0.4285714285714285,,,,3558499.3505729376,,,,,,,3780740.633673814,,3738426.674962453,,,,,,,,
8,0.5,,,,3682884.9410500573,,,,,,,3840674.396870651,,3746776.949667682,,,,,,,,
9,0.5714285714285714,,,,3652532.309456987,,,,,,,3816803.9828265193,,3753889.158199197,,,,,,,,
10,0.6428571428571428,,,,3529474.3382431976,,,,,,,,,3684208.65732874,,,,,,,,
11,0.7142857142857142,,,,3607000.5579283717,,,,,,,3448794.676648867,,3814651.067455994,,,,,,3060667.723745824,,
12,0.7857142857142857,,,,3830486.757824197,,,,,,,3938932.4252000633,,3890499.462416009,,,,,,2949424.6925213467,,
13,0.8571428571428571,,,,3663256.799409247,,,,,,,3671143.80617027,,3887690.2942509656,,,,,,,,
14,0.9285714285714284,,,,3851828.765405899,,,,,,,3673315.17612527,,3706267.005606002,,,,,,,,
15,1.0,,,2752001.513133369,3672650.9049411905,,,,,,,3556593.3230172014,,3864727.0609945334,,,,,,,,
16,1.0714285714285714,,,,3793241.6021590615,,,,,,,3341060.6766133527,,3919194.6034615785,,,,,,,,
17,1.1428571428571428,,,,3593929.147458258,,,,,,,3452471.414771279,,3747640.2701907633,,2664337.254388539,,,,,,
18,1.2142857142857142,,,,3437673.3590009357,,,,,,,3586572.824228653,,3560264.5215836456,,,,,,2882092.90994213,,
19,1.2857142857142856,,,,3443010.5927394894,,,,,,,3813721.9351813826,,3723996.544229479,,,,,,,,
20,1.357142857142857,,,,3741980.692853315,,,,,,,3873240.8436965058,,3746765.4548988626,,,,,,,,
21,1.4285714285714284,,,,3658362.6710999208,,,,,,,3634878.4901383626,,4023218.86150806,,2748395.838309079,,,,2920368.27221964,,
22,1.5,,,,3715741.704650516,,,,,,,3714342.521107724,,4056397.8852173476,,,,,,,,
23,1.5714285714285714,,,,3760569.35618712,,,,,,,3974280.456739128,,3885086.6205682917,,,,,,,,
24,1.6428571428571428,,,3327988.392450908,3742127.8169633173,,,,,,,3799014.248791209,,4006957.814720689,,,,,,,,
25,1.7142857142857142,,,,3694141.4940683614,,,,,,,3822683.3122162223,,3926981.8487210856,,,,,,,,
26,1.7857142857142856,,,,3670331.4095848254,,,,,,,3967917.525904935,,3881604.8588099834,,,,,,,,
27,1.857142857142857,,,,3547389.558810595,,,,,,,3754497.030251115,,3858011.619784008,,,,,,,,
28,1.9285714285714284,,,,3734729.885305757,,,,,,,3708353.9384372155,,3958003.855611567,,,,,,,,
29,2.0,,,,3860103.626838147,,,,,,,3572841.9284836235,,3999534.768381143,,,,,,,,
30,2.071428571428571,,,,3827902.585674877,,,,,,,3844758.7547266837,,4121568.718591878,,,,,,,,
31,2.142857142857143,,,,3721559.129611596,,,,,,,3618986.2868944695,,3966995.2881914983,,,,,,,,
32,2.214285714285714,,,2321510.2586985636,3599907.3857457493,,,,,,,,,3946836.5445499565,,,,,,,,
33,2.2857142857142856,,2230558.649791011,,3670234.2539266692,,,,,,,3727388.0502069094,,3895133.2606299305,,,,,,3005046.1764465882,,
34,2.357142857142857,,,,3788261.0103607746,,,,,,,3794152.5833849786,,3769097.7001438797,,,,,,,,
35,2.4285714285714284,,,,3724343.750588385,,,,,,,3815373.088668528,,3924102.25555816,,,,,,,,
36,2.5,,,,3640129.987750536,,,,,,,3676596.6557598393,,4034105.2380343634,,,,,,,,
