Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
21,1.4285714285714284,,,2180276.036702357,,,2251758.6917801034,1937090.0797206794,,2078002.0739638961,1812898.1680685827,1989467.878863099,,,1911881.914758774,,1900537.6868659235,2166217.333195399,
22,1.5,1876798.7146041498,,,,,2327119.1505477037,1937912.0809786401,,,1953923.5380474855,2008316.8081049607,1817735.6134327156,,2025669.7818038827,,1811106.2351479358,1780302.8021095109,
23,1.5714285714285714,,,2443996.382696597,,,2270948.8922633417,1941019.1846854726,,2109393.8775971727,1704508.990023693,2093881.1888309931,1868393.330147624,,2064753.9584576138,,,,
24,1.6428571428571428,1870337.8044857683,,2283516.162982854,,,2174204.439768105,1835520.6106041097,,2057518.2374290954,1738829.6575551468,2069473.7899147181,2011160.2920969906,,1948017.736364,,,2170964.4399587903,
25,1.7142857142857142,,,2162318.7561853346,,,2191707.549879854,1814462.7335181935,,2017394.504020249,1699591.3639861702,1770527.0835513407,1797293.394412668,,1862780.0212349389,,1763334.3311886413,2053059.7206467858,
26,1.7857142857142856,,,1972260.732769608,2163065.021749013,,2200442.6270529632,1750942.0794425318,1798938.582133869,2041336.199759422,1649802.8325164556,2029388.358523799,1812603.432521061,,1788262.4675605805,,1845036.0996515374,,
27,1.857142857142857,,,2115363.5704838242,,,2379359.042781993,1735901.811304012,,2095672.760647629,1507637.016040502,2149243.7023542235,1665987.541427745,,1849781.9410677135,,1780271.9683524289,,
28,1.9285714285714284,,,2194780.8646388953,,,2388227.9540006933,,,2127480.495495689,1622591.9947683879,1967221.6075265687,2003099.4922471326,,2017131.6764577464,,,2186764.3787036114,
29,2.0,,,2225683.900284995,,,2322706.530228394,,,1891329.3937999047,1731210.2289646603,1984156.2328542448,1693232.0267069147,,2003212.6610940457,,1817761.6399237704,2064413.540784155,
30,2.071428571428571,,,,,,2362868.013387942,,,2146066.4549977556,2039919.7724619207,2063521.4173056693,1964131.640558031,,1927303.0256932534,,1757815.5683117064,2216655.6101506236,
